Gene_Symbol	logFC	pv	pct.1	pct.2	p_val_adj
BNIP3	3.640412	2.33E-64	0.515	0.073	7.51E-60
LMNA	3.489319	1.92E-56	0.484	0.079	6.19E-52
F10	0.775384	2.46E-13	0.663	0.498	7.95E-09
ARHGEF37	-4.9606	1.25E-45	0.011	0.192	4.05E-41
IER2	-1.13664	1.33E-37	0.528	0.78	4.31E-33
FTH1	1.664248	2.79E-98	0.998	1	9.00E-94
CCRL2	2.235676	8.86E-15	0.207	0.054	2.86E-10
TMEM176B	-2.36072	1.77E-31	0.116	0.335	5.71E-27
MALT1	1.93746	1.60E-24	0.365	0.121	5.16E-20
CD24	3.79884	2.80E-24	0.217	0.018	9.04E-20
GSR	-1.39397	1.52E-82	0.564	0.919	4.92E-78
CHST11	2.283191	8.25E-27	0.345	0.093	2.66E-22
ECM1	3.029778	5.59E-72	0.591	0.121	1.81E-67
ID2	0.965061	1.41E-14	0.575	0.397	4.56E-10
SGK1	1.990515	9.93E-14	0.216	0.067	3.21E-09
LDHA	1.957505	1.13E-133	0.961	0.655	3.65E-129
SOCS3	-1.68064	7.11E-44	0.312	0.605	2.30E-39
SELL	-3.47788	1.06E-114	0.066	0.544	3.42E-110
FAM162A	3.422288	1.19E-65	0.54	0.093	3.83E-61
TGM2	2.387937	6.41E-59	0.586	0.137	2.07E-54
SDC4	3.9997	3.97E-66	0.482	0.034	1.28E-61
PRTN3	-2.97685	3.30E-47	0.045	0.282	1.07E-42
TPI1	2.702132	2.69E-138	0.9	0.327	8.68E-134
KLF4	0.63646	8.86E-11	0.567	0.377	2.86E-06
MMP8	-2.1256	9.31E-61	0.138	0.502	3.00E-56
ACP5	2.304259	1.15E-08	0.112	0.026	0.000372
TMEM176A	-1.61298	1.16E-09	0.086	0.183	3.75E-05
MCEMP1	-1.71706	1.37E-63	0.279	0.673	4.41E-59
CX3CR1	-1.4921	1.58E-08	0.057	0.135	0.00051
STXBP6	-2.92878	1.07E-35	0.036	0.222	3.46E-31
SLC16A3	2.054541	3.77E-74	0.729	0.238	1.22E-69
PSD3	4.185059	1.16E-07	0.063	0.004	0.00373
ZFP36	-0.84676	3.38E-25	0.534	0.734	1.09E-20
PGLYRP1	-2.31971	1.84E-08	0.021	0.077	0.000594
CDK2AP2	-0.37371	1.03E-09	0.555	0.688	3.33E-05
ASS1	4.947332	4.94E-24	0.2	0.01	1.60E-19
S100A10	1.150778	3.17E-55	0.917	0.798	1.02E-50
NT5E	4.003984	7.77E-16	0.144	0.012	2.51E-11
RBPJ	1.269785	5.17E-14	0.347	0.163	1.67E-09
HPGD	-4.38573	5.66E-25	0.006	0.107	1.83E-20
CFH	-1.88159	1.73E-11	0.074	0.175	5.57E-07
PLAUR	0.660117	8.20E-12	0.727	0.577	2.65E-07
SLC2A1	1.95336	7.31E-33	0.472	0.169	2.36E-28
CCR2	-1.12257	6.56E-52	0.585	0.871	2.12E-47
GAPDH	1.961168	3.14E-154	0.986	0.825	1.02E-149
NR4A2	1.398358	2.25E-15	0.359	0.169	7.26E-11
MPP7	0.965927	3.10E-07	0.282	0.167	0.010023
BTG2	-0.50578	1.36E-19	0.758	0.887	4.40E-15
PKM	1.723114	1.09E-147	0.99	0.881	3.50E-143
JUNB	-0.76392	3.74E-47	0.888	0.98	1.21E-42
CDKN1A	0.564505	3.37E-13	0.803	0.667	1.09E-08
GPR171	4.298244	4.47E-11	0.095	0.006	1.44E-06
APOC2	-0.60028	6.54E-13	0.352	0.528	2.11E-08
F7	7.374091	4.50E-10	0.074	0	1.45E-05
CD80	1.200389	4.81E-17	0.431	0.222	1.55E-12
ANKRD37	1.560454	2.54E-11	0.203	0.069	8.20E-07
SGMS2	1.054401	5.06E-07	0.206	0.105	0.016345
TESK2	-2.61491	3.64E-07	0.007	0.042	0.011743
IL7R	3.659181	2.23E-15	0.141	0.012	7.19E-11
LTB4R	1.164288	9.75E-24	0.612	0.361	3.15E-19
FLRT2	5.15498	1.98E-09	0.074	0.002	6.40E-05
BIRC3	-0.88844	8.53E-08	0.185	0.29	0.002753
LGALS1	1.887154	1.02E-88	0.899	0.655	3.28E-84
DAB2	3.161254	4.91E-73	0.58	0.091	1.59E-68
TGFBI	0.734871	7.02E-20	0.855	0.845	2.27E-15
PTGS2	1.652636	9.72E-14	0.228	0.073	3.14E-09
NLRP3	0.913054	2.73E-10	0.396	0.232	8.81E-06
DDIT4	3.065993	2.62E-10	0.111	0.018	8.47E-06
FMNL2	3.512174	1.10E-34	0.302	0.028	3.55E-30
MANF	0.951571	2.17E-09	0.573	0.448	7.01E-05
ENO1	1.811837	3.47E-105	0.917	0.577	1.12E-100
PLD3	2.019193	2.61E-08	0.103	0.022	0.000842
ODC1	1.43855	5.19E-07	0.137	0.052	0.016747
PSAP	-0.16349	2.24E-08	0.962	0.99	0.000724
UPP1	4.405261	1.37E-09	0.079	0.004	4.44E-05
MGST1	-2.61741	1.06E-125	0.213	0.77	3.41E-121
HSP90AA1	0.543075	1.89E-17	0.718	0.546	6.09E-13
GDA	-1.16315	5.31E-44	0.462	0.762	1.72E-39
CREG1	-0.49134	1.43E-07	0.313	0.425	0.004602
CSTB	2.010182	1.03E-113	0.928	0.573	3.33E-109
ANXA2	1.14498	7.93E-60	0.957	0.873	2.56E-55
TAGLN2	0.952785	3.13E-26	0.783	0.627	1.01E-21
GRK5	-0.78151	4.95E-07	0.202	0.304	0.01598
TES	1.345813	1.37E-14	0.357	0.171	4.43E-10
CRELD2	1.370903	1.18E-08	0.24	0.117	0.000381
MYO1E	4.333644	7.73E-29	0.249	0.02	2.50E-24
GPR141	-0.89114	2.64E-09	0.129	0.248	8.53E-05
EMP1	3.929561	2.63E-41	0.349	0.034	8.49E-37
HMGB2	-1.78169	5.30E-47	0.241	0.554	1.71E-42
PLIN2	1.347445	4.24E-46	0.841	0.593	1.37E-41
CD86	0.947965	8.85E-20	0.62	0.363	2.86E-15
NR4A1	-0.64889	2.76E-09	0.432	0.546	8.92E-05
BTG1	0.404962	7.90E-12	0.951	0.909	2.55E-07
RAB11FIP1	1.153	8.40E-07	0.185	0.089	0.027118
NDRG1	1.867882	6.10E-13	0.247	0.099	1.97E-08
CREB5	4.341771	9.80E-23	0.197	0.014	3.16E-18
TRAF1	2.005875	4.34E-09	0.129	0.034	0.00014
CXCL16	3.139735	3.56E-15	0.155	0.02	1.15E-10
SAMHD1	-1.76731	9.75E-60	0.345	0.704	3.15E-55
CLIC4	0.963711	1.97E-08	0.308	0.171	0.000636
PITPNC1	2.220696	1.83E-17	0.257	0.079	5.91E-13
DOK2	3.094565	2.28E-44	0.405	0.058	7.37E-40
IFITM3	-1.20403	1.39E-119	0.859	0.996	4.50E-115
CEBPD	-1.90628	2.45E-36	0.157	0.419	7.93E-32
CYP27B1	2.268758	3.92E-12	0.157	0.036	1.27E-07
GPCPD1	-2.72507	6.13E-75	0.131	0.522	1.98E-70
EGR2	1.806661	3.05E-08	0.133	0.042	0.000985
MAML2	1.84846	6.09E-10	0.176	0.06	1.97E-05
RHOB	1.025752	1.77E-07	0.315	0.194	0.005719
F5	-1.56597	7.98E-18	0.077	0.224	2.57E-13
ARHGAP26	-2.0607	4.44E-58	0.215	0.573	1.43E-53
SMOX	1.355674	8.05E-26	0.56	0.28	2.60E-21
CFP	1.028357	3.32E-18	0.548	0.339	1.07E-13
FLRT3	3.452024	1.57E-08	0.078	0.008	0.000506
P4HA2	7.065535	5.63E-07	0.049	0	0.018186
PRKCG	-2.29655	3.82E-09	0.016	0.071	0.000123
NAPSA	-1.83018	2.63E-97	0.398	0.839	8.48E-93
PDLIM1	-1.7719	3.16E-09	0.045	0.121	0.000102
TMCC1	-1.28511	4.50E-12	0.163	0.292	1.45E-07
VIM	0.668183	1.39E-17	0.921	0.905	4.50E-13
HIVEP2	1.231754	2.40E-11	0.279	0.129	7.73E-07
IRF1	-1.31834	4.12E-11	0.111	0.228	1.33E-06
OSBPL8	1.698522	3.18E-27	0.47	0.194	1.03E-22
RAI14	3.40061	1.15E-19	0.191	0.022	3.70E-15
C3	-1.69648	4.85E-14	0.067	0.183	1.57E-09
GYG1	-1.81252	7.80E-23	0.107	0.286	2.52E-18
TMEM119	5.141769	2.73E-11	0.089	0.002	8.82E-07
RHOC	3.026274	6.38E-10	0.09	0.008	2.06E-05
TREML4	-1.68072	1.49E-07	0.039	0.103	0.004806
ERN1	1.329667	7.78E-11	0.286	0.143	2.51E-06
DUSP5	2.360491	2.54E-26	0.316	0.073	8.21E-22
ALCAM	0.665387	1.85E-11	0.543	0.365	5.96E-07
LMNB1	0.803798	5.57E-08	0.399	0.266	0.001797
SPINT1	2.210653	4.27E-10	0.137	0.034	1.38E-05
FNDC3A	1.516777	8.28E-23	0.487	0.248	2.67E-18
BASP1	3.757652	7.32E-107	0.689	0.065	2.36E-102
SAMSN1	-0.7925	7.98E-10	0.28	0.407	2.58E-05
SLC7A8	2.828478	4.42E-19	0.216	0.04	1.43E-14
CYTIP	-0.70669	8.77E-17	0.424	0.637	2.83E-12
ANXA1	-0.93345	1.24E-21	0.458	0.653	3.99E-17
PDIA6	1.035176	7.11E-18	0.668	0.482	2.29E-13
SNX6	1.101993	8.28E-14	0.385	0.202	2.67E-09
ANTXR2	1.81223	2.30E-21	0.361	0.135	7.42E-17
PBX1	-2.23674	1.05E-12	0.03	0.115	3.39E-08
DIP2C	3.269433	9.74E-13	0.124	0.014	3.14E-08
CLEC4D	0.82643	7.23E-14	0.656	0.476	2.33E-09
CD177	-2.42696	1.67E-26	0.06	0.23	5.40E-22
ATP2B4	3.272396	6.71E-17	0.173	0.024	2.17E-12
SNTB1	-6.32835	1.13E-20	0.002	0.075	3.65E-16
TUBB4A	1.789021	1.79E-30	0.49	0.196	5.78E-26
PGAM1	1.840624	8.60E-100	0.889	0.452	2.78E-95
PDIA4	1.816908	4.88E-17	0.295	0.105	1.57E-12
CTSS	-0.16524	8.01E-07	0.906	0.98	0.025855
SNX2	0.693961	2.47E-08	0.476	0.329	0.000796
MTHFD1L	1.668366	4.72E-11	0.184	0.058	1.52E-06
TCF7L2	2.163621	3.44E-20	0.249	0.054	1.11E-15
ADAM8	2.18325	7.68E-44	0.506	0.151	2.48E-39
IFRD1	0.836397	4.87E-20	0.704	0.47	1.57E-15
TUBA1B	1.098086	5.35E-23	0.61	0.361	1.73E-18
ITGB7	-1.5159	1.61E-23	0.152	0.359	5.19E-19
DGKG	-2.19832	3.10E-28	0.062	0.246	9.99E-24
PID1	0.791208	7.38E-20	0.758	0.573	2.38E-15
FAM20C	2.809514	2.75E-11	0.114	0.014	8.88E-07
CREM	0.812829	8.41E-12	0.5	0.312	2.71E-07
SQSTM1	1.648436	5.28E-20	0.406	0.171	1.71E-15
RIPOR2	-2.96534	1.18E-33	0.046	0.232	3.79E-29
PARP8	-1.68138	3.35E-15	0.044	0.153	1.08E-10
SDC1	4.612738	8.80E-11	0.089	0.004	2.84E-06
SVIL	-0.60651	2.93E-07	0.265	0.369	0.009457
SOCS2	3.90253	2.30E-09	0.078	0.004	7.43E-05
ALDOA	1.947327	4.07E-139	0.966	0.671	1.31E-134
DNAJA1	-0.36298	1.09E-08	0.509	0.625	0.000352
CALR	0.773499	6.70E-16	0.743	0.611	2.16E-11
ST3GAL4	-1.59191	6.31E-27	0.154	0.371	2.04E-22
FAM71F2	4.064013	7.35E-11	0.094	0.006	2.37E-06
COL18A1	5.310316	1.03E-14	0.116	0.002	3.32E-10
TSPAN13	-1.57709	1.85E-14	0.106	0.24	5.96E-10
GLRX	0.768207	4.20E-08	0.463	0.325	0.001356
ARHGAP15	-2.96102	5.17E-134	0.186	0.744	1.67E-129
EMB	-1.07407	6.89E-52	0.604	0.861	2.22E-47
FPR2	-1.95188	2.71E-22	0.082	0.248	8.75E-18
MXI1	1.796876	1.19E-20	0.313	0.095	3.85E-16
PLBD1	-0.70725	3.31E-11	0.345	0.496	1.07E-06
EZR	1.314574	3.22E-11	0.294	0.143	1.04E-06
HSP90B1	0.876255	9.20E-12	0.7	0.556	2.97E-07
ADD3	-1.94843	9.54E-18	0.079	0.22	3.08E-13
MSR1	1.14636	4.37E-24	0.577	0.319	1.41E-19
ATRNL1	-1.04343	1.03E-17	0.298	0.474	3.32E-13
LDLRAD3	-3.07442	5.23E-30	0.034	0.194	1.69E-25
IMPA2	1.565976	3.13E-08	0.184	0.079	0.001012
TUBB6	1.000622	1.55E-20	0.562	0.302	4.99E-16
S100A4	-0.43609	2.58E-18	0.785	0.938	8.34E-14
RGL1	2.397572	2.34E-11	0.149	0.036	7.57E-07
KANSL1L	1.901661	7.67E-09	0.145	0.046	0.000248
HEXA	-0.76548	3.49E-17	0.438	0.611	1.13E-12
HIF1A	0.732349	2.53E-11	0.493	0.304	8.18E-07
STON2	2.624349	1.88E-14	0.164	0.028	6.08E-10
MTHFS	2.45384	4.48E-13	0.152	0.028	1.45E-08
BHLHE40	2.60917	6.94E-18	0.197	0.032	2.24E-13
GPAT3	2.201697	1.14E-16	0.227	0.06	3.69E-12
TIPARP	0.851321	1.01E-09	0.452	0.312	3.25E-05
FGR	-1.51594	1.13E-38	0.229	0.518	3.64E-34
KCNN4	5.793587	1.88E-15	0.122	0.002	6.06E-11
DAPK1	2.039451	4.22E-12	0.17	0.044	1.36E-07
TUBB2A	0.903822	8.17E-08	0.177	0.073	0.002639
BACH2	2.739303	1.59E-17	0.201	0.038	5.13E-13
ITGAV	1.587401	2.48E-09	0.181	0.067	8.01E-05
PFKP	1.285124	9.58E-14	0.371	0.192	3.09E-09
GCNT2	-1.2404	2.98E-17	0.166	0.341	9.62E-13
FNIP2	1.541182	6.13E-11	0.199	0.071	1.98E-06
GFOD1	2.003029	5.30E-10	0.131	0.03	1.71E-05
FLT3	-3.93411	4.17E-22	0.006	0.097	1.35E-17
SCIMP	1.910696	9.52E-12	0.176	0.05	3.07E-07
INPP4B	-3.40604	2.62E-07	0.003	0.032	0.008444
FCGR2B	1.490124	2.58E-67	0.843	0.498	8.32E-63
EHD1	1.308235	1.26E-21	0.452	0.2	4.07E-17
VAT1	3.404551	1.52E-17	0.162	0.014	4.92E-13
RNASE6	-2.83959	1.50E-31	0.033	0.2	4.83E-27
CDH23	-1.59122	1.22E-09	0.036	0.111	3.95E-05
BTLA	-4.10615	1.08E-08	0.002	0.032	0.000348
PLK3	1.699403	2.68E-10	0.171	0.054	8.65E-06
FURIN	1.461569	9.67E-16	0.323	0.133	3.12E-11
HK2	1.658725	2.50E-10	0.192	0.069	8.07E-06
FOSB	0.744214	7.41E-08	0.341	0.204	0.002391
TBXAS1	1.714519	5.24E-24	0.371	0.125	1.69E-19
PIGQ	1.417178	1.19E-44	0.775	0.504	3.84E-40
GBE1	2.340074	1.08E-12	0.165	0.038	3.47E-08
ITGAL	-1.46409	1.35E-06	0.042	0.101	0.043448
HIGD1A	1.82438	1.12E-42	0.623	0.274	3.61E-38
SLFN5	-0.9141	8.09E-07	0.114	0.202	0.026109
FRY	-1.50212	1.47E-11	0.074	0.179	4.75E-07
TMEM37	2.053309	1.87E-09	0.135	0.036	6.05E-05
CLEC5A	1.459163	2.53E-11	0.247	0.103	8.17E-07
ITGA4	-2.1114	1.97E-20	0.078	0.232	6.37E-16
CCDC88C	-4.35024	7.95E-17	0.006	0.075	2.57E-12
LPP	1.87028	4.04E-28	0.384	0.109	1.31E-23
PLA2G4A	1.044464	6.25E-09	0.269	0.137	0.000202
PILRA	1.32784	3.67E-18	0.412	0.196	1.18E-13
FABP7	-2.75927	3.28E-10	0.01	0.062	1.06E-05
RANBP1	0.915649	1.01E-10	0.434	0.26	3.27E-06
INSIG1	2.036344	1.56E-07	0.102	0.026	0.00504
ISY1	1.076774	4.31E-08	0.221	0.105	0.00139
EXT1	-0.943	4.23E-14	0.231	0.395	1.36E-09
NFAT5	0.839368	1.28E-06	0.246	0.135	0.041476
NAAA	-1.19751	1.09E-15	0.201	0.365	3.52E-11
NFIL3	-0.62255	1.42E-06	0.336	0.435	0.045735
ITM2B	-1.28824	1.99E-109	0.8	0.98	6.42E-105
C5AR1	1.51395	2.31E-57	0.791	0.393	7.47E-53
CHD7	1.410615	2.49E-20	0.419	0.183	8.04E-16
TRPS1	-0.78973	6.34E-25	0.536	0.756	2.05E-20
ARHGAP10	2.106204	3.35E-07	0.099	0.026	0.01082
PTPN7	1.410648	7.46E-07	0.12	0.04	0.024094
LGMN	1.354294	5.98E-29	0.677	0.492	1.93E-24
YPEL3	-1.79967	1.09E-34	0.142	0.397	3.51E-30
POU2F2	-3.29315	4.95E-38	0.029	0.214	1.60E-33
ABCA1	1.824985	9.05E-17	0.244	0.067	2.92E-12
HSP90AB1	0.842837	1.46E-33	0.839	0.677	4.71E-29
CDKN2D	-2.3314	4.98E-39	0.097	0.341	1.61E-34
RAN	1.024629	9.19E-18	0.546	0.335	2.97E-13
DCLRE1C	-1.14369	3.92E-07	0.078	0.159	0.012653
BMX	-7.81754	1.28E-11	0	0.036	4.14E-07
ITGAM	0.765444	1.73E-10	0.48	0.317	5.59E-06
ANXA3	1.654227	1.53E-24	0.413	0.159	4.93E-20
CERS6	-1.23777	1.91E-27	0.304	0.542	6.15E-23
SELENOH	-2.38176	3.90E-15	0.037	0.137	1.26E-10
RNF150	3.248314	1.40E-08	0.079	0.008	0.000452
PTPRO	-1.24286	1.24E-10	0.099	0.212	4.01E-06
CRTC3	0.881826	2.41E-07	0.341	0.218	0.007777
CDK14	1.3779	9.77E-15	0.281	0.101	3.15E-10
PRKCE	-1.13953	1.32E-08	0.088	0.181	0.000426
GSTM1	-1.66439	2.45E-17	0.071	0.21	7.92E-13
NT5DC2	1.838424	6.14E-12	0.202	0.067	1.98E-07
ARL15	-1.72668	4.68E-17	0.093	0.236	1.51E-12
MMP14	5.629282	4.01E-31	0.241	0.006	1.29E-26
SBNO2	-1.56497	8.76E-25	0.186	0.401	2.83E-20
MET	1.662427	9.22E-08	0.136	0.046	0.002976
CDK6	2.035897	5.94E-13	0.181	0.046	1.92E-08
RASGRP2	-3.15219	5.91E-36	0.033	0.214	1.91E-31
LRRK2	-1.94699	1.47E-06	0.015	0.056	0.047383
ADGRE1	-1.36633	1.19E-23	0.171	0.387	3.84E-19
MITF	1.39474	4.77E-13	0.287	0.121	1.54E-08
CD300LG	-3.63873	2.45E-14	0.01	0.077	7.91E-10
IZUMO1R	2.235391	1.42E-06	0.066	0.01	0.045988
FAM49A	-1.67231	1.31E-15	0.055	0.175	4.22E-11
PFKL	2.296038	5.18E-31	0.374	0.095	1.67E-26
GCSH	1.21536	3.62E-08	0.145	0.048	0.001167
PDLIM7	3.998414	3.01E-14	0.128	0.01	9.72E-10
CD274	3.414871	1.78E-10	0.098	0.01	5.75E-06
ADGRG6	3.187507	1.02E-06	0.063	0.008	0.033062
HK1	2.187366	5.25E-11	0.164	0.048	1.70E-06
COX6B2	-2.71107	1.61E-10	0.014	0.073	5.20E-06
GAR1	1.512773	8.95E-07	0.115	0.038	0.028907
CCR5	0.721085	7.42E-10	0.456	0.292	2.39E-05
CCND3	-1.53356	9.22E-32	0.241	0.492	2.98E-27
SRM	2.675651	5.69E-13	0.141	0.022	1.84E-08
PEAK1	1.23314	5.18E-12	0.28	0.119	1.67E-07
ATXN1	1.717355	4.17E-12	0.206	0.069	1.35E-07
MAP4K4	1.326929	5.31E-10	0.255	0.121	1.71E-05
SLC9A9	-1.20511	4.84E-09	0.114	0.214	0.000156
SMPDL3A	-2.68969	4.32E-146	0.259	0.847	1.39E-141
NADK	-1.33115	1.17E-14	0.169	0.317	3.78E-10
MAP3K5	-1.1014	1.64E-07	0.146	0.24	0.005286
MTHFD2	2.115848	5.68E-10	0.13	0.03	1.83E-05
CYBB	-2.00855	1.24E-79	0.262	0.702	4.02E-75
DIPK1A	-1.79682	1.13E-09	0.051	0.133	3.66E-05
SNX24	1.953427	3.55E-12	0.168	0.042	1.15E-07
CD33	-2.26965	4.62E-17	0.034	0.143	1.49E-12
PGM1	2.96641	3.54E-17	0.174	0.022	1.14E-12
TNFRSF11A	2.565012	1.37E-09	0.103	0.016	4.42E-05
SLC37A2	2.55637	2.21E-08	0.096	0.018	0.000714
KCNK13	1.791609	2.27E-09	0.126	0.03	7.33E-05
HAVCR2	1.82088	3.65E-13	0.222	0.075	1.18E-08
