Gene_Symbol	logFC	pv	pct.1	pct.2	p_val_adj
RPLP0	-0.48895	1.01E-44	0.978	0.998	3.25E-40
PIGQ	1.417178	1.19E-44	0.775	0.504	3.84E-40
DOK2	3.094565	2.28E-44	0.405	0.058	7.37E-40
CTSL	1.612101	4.41E-44	0.763	0.514	1.42E-39
GDA	-1.16315	5.31E-44	0.462	0.762	1.72E-39
PTPN1	-1.31259	5.91E-44	0.422	0.722	1.91E-39
SOCS3	-1.68064	7.11E-44	0.312	0.605	2.30E-39
ADAM8	2.18325	7.68E-44	0.506	0.151	2.48E-39
CD300A	-1.87066	1.00E-43	0.183	0.48	3.23E-39
RPS11	-0.53397	4.11E-43	0.958	0.998	1.33E-38
HIGD1A	1.82438	1.12E-42	0.623	0.274	3.61E-38
MYL12A	1.079038	2.38E-42	0.84	0.611	7.68E-38
RPL23A	-0.52542	4.30E-42	0.951	0.996	1.39E-37
C3AR1	2.718418	4.93E-42	0.422	0.079	1.59E-37
SELENOP	-1.53203	6.55E-42	0.215	0.52	2.12E-37
LST1	-1.29179	9.04E-42	0.403	0.694	2.92E-37
RPL37	-0.60457	2.12E-41	0.926	0.978	6.84E-37
EMP1	3.929561	2.63E-41	0.349	0.034	8.49E-37
DBI	-1.02653	1.31E-39	0.576	0.8	4.24E-35
LY86	-2.03149	1.46E-39	0.14	0.411	4.72E-35
RPL26	-0.49455	2.94E-39	0.959	0.976	9.51E-35
CDKN2D	-2.3314	4.98E-39	0.097	0.341	1.61E-34
FOS	-0.86931	8.02E-39	0.799	0.94	2.59E-34
FGR	-1.51594	1.13E-38	0.229	0.518	3.64E-34
RPS24	-0.52281	1.20E-38	0.939	0.984	3.86E-34
PLA2G7	-1.12143	1.40E-38	0.415	0.708	4.53E-34
POU2F2	-3.29315	4.95E-38	0.029	0.214	1.60E-33
MRPL33	-1.10559	6.86E-38	0.536	0.768	2.22E-33
IER2	-1.13664	1.33E-37	0.528	0.78	4.31E-33
RPS23	-0.47676	1.51E-37	0.957	0.996	4.88E-33
PRDX6	1.427131	2.16E-37	0.749	0.518	6.96E-33
EEF1A1	-0.43906	4.33E-37	0.979	1	1.40E-32
CCL7	3.634843	6.96E-37	0.409	0.105	2.25E-32
CEBPD	-1.90628	2.45E-36	0.157	0.419	7.93E-32
RPL10A	-0.71483	3.48E-36	0.805	0.931	1.12E-31
RASGRP2	-3.15219	5.91E-36	0.033	0.214	1.91E-31
SDCBP	1.021912	7.28E-36	0.827	0.621	2.35E-31
STXBP6	-2.92878	1.07E-35	0.036	0.222	3.46E-31
UQCRH	-0.88156	1.11E-35	0.632	0.833	3.59E-31
ALDH2	-1.56437	1.31E-35	0.198	0.47	4.23E-31
RPS7	-0.54404	5.75E-35	0.906	0.978	1.86E-30
MPEG1	-1.66108	6.21E-35	0.176	0.438	2.01E-30
YPEL3	-1.79967	1.09E-34	0.142	0.397	3.51E-30
FMNL2	3.512174	1.10E-34	0.302	0.028	3.55E-30
RPL32	-0.48946	1.93E-34	0.949	0.986	6.25E-30
RPL6	-0.50265	2.05E-34	0.932	0.984	6.61E-30
RPS18	-0.516	2.71E-34	0.946	0.994	8.76E-30
RPL4	-0.60877	2.76E-34	0.859	0.97	8.93E-30
RPL37A	-0.48689	3.01E-34	0.942	0.986	9.73E-30
DUSP1	-0.71372	3.88E-34	0.801	0.948	1.25E-29
FAU	-0.34042	3.93E-34	0.994	0.998	1.27E-29
ACTB	0.90412	5.51E-34	0.986	0.994	1.78E-29
RIPOR2	-2.96534	1.18E-33	0.046	0.232	3.79E-29
RPL13A	-0.4444	1.23E-33	0.972	1	3.97E-29
HSP90AB1	0.842837	1.46E-33	0.839	0.677	4.71E-29
RPL34	-0.50922	2.37E-33	0.938	0.986	7.64E-29
KLF2	-1.36151	2.99E-33	0.455	0.681	9.66E-29
SLC2A1	1.95336	7.31E-33	0.472	0.169	2.36E-28
RPL3	-0.60015	2.05E-32	0.85	0.966	6.63E-28
MT1A	1.610284	2.45E-32	0.767	0.577	7.92E-28
BIN2	-1.4561	4.81E-32	0.217	0.466	1.55E-27
CCND3	-1.53356	9.22E-32	0.241	0.492	2.98E-27
RPS5	-0.46546	1.29E-31	0.955	0.99	4.18E-27
RNASE6	-2.83959	1.50E-31	0.033	0.2	4.83E-27
LILRB3	-1.13074	1.67E-31	0.396	0.649	5.38E-27
RPL24	-0.48453	1.72E-31	0.93	0.976	5.56E-27
TMEM176B	-2.36072	1.77E-31	0.116	0.335	5.71E-27
RPL17	-0.44684	2.77E-31	0.947	0.982	8.94E-27
RPL7	-0.55703	3.46E-31	0.902	0.972	1.12E-26
FKBP1A	1.229638	3.80E-31	0.686	0.403	1.23E-26
MMP14	5.629282	4.01E-31	0.241	0.006	1.29E-26
PFKL	2.296038	5.18E-31	0.374	0.095	1.67E-26
GNGT2	-1.16474	5.92E-31	0.287	0.552	1.91E-26
TUBB4A	1.789021	1.79E-30	0.49	0.196	5.78E-26
TMEM38B	-2.59592	2.20E-30	0.054	0.234	7.11E-26
RAMP1	-2.7496	2.26E-30	0.046	0.22	7.29E-26
PDPN	4.477135	2.78E-30	0.265	0.024	8.96E-26
LDLRAD3	-3.07442	5.23E-30	0.034	0.194	1.69E-25
RPS27	-0.43985	7.14E-30	0.958	0.994	2.31E-25
SLC8A1	-1.29253	1.25E-29	0.233	0.49	4.03E-25
RPL27	-0.53075	1.60E-29	0.874	0.972	5.18E-25
LY6E	-0.7972	4.20E-29	0.643	0.853	1.35E-24
LGMN	1.354294	5.98E-29	0.677	0.492	1.93E-24
MYO1E	4.333644	7.73E-29	0.249	0.02	2.50E-24
RPL18	-0.47463	7.78E-29	0.93	0.98	2.51E-24
RPL11	-0.47417	8.28E-29	0.923	0.984	2.67E-24
RPS16	-0.39904	1.03E-28	0.966	0.992	3.32E-24
SUB1	-0.66967	2.27E-28	0.723	0.879	7.33E-24
TMPO	-2.27801	2.39E-28	0.073	0.26	7.73E-24
DGKG	-2.19832	3.10E-28	0.062	0.246	9.99E-24
LPP	1.87028	4.04E-28	0.384	0.109	1.31E-23
RPL27A	-0.48465	6.06E-28	0.91	0.986	1.96E-23
NOP53	-1.17272	8.27E-28	0.353	0.579	2.67E-23
CD63	3.057667	1.25E-27	0.301	0.06	4.05E-23
COTL1	0.790199	1.64E-27	0.835	0.744	5.29E-23
CERS6	-1.23777	1.91E-27	0.304	0.542	6.15E-23
LYN	-0.75161	1.95E-27	0.674	0.827	6.29E-23
PTPRC	-1.05897	2.63E-27	0.357	0.611	8.50E-23
IFNGR1	-1.21455	2.87E-27	0.356	0.593	9.27E-23
OSBPL8	1.698522	3.18E-27	0.47	0.194	1.03E-22
RPL9	-0.42826	3.28E-27	0.943	0.988	1.06E-22
EIF4A1	0.604976	4.78E-27	0.914	0.863	1.54E-22
ST3GAL4	-1.59191	6.31E-27	0.154	0.371	2.04E-22
CHST11	2.283191	8.25E-27	0.345	0.093	2.66E-22
C12orf57	-1.28663	1.05E-26	0.237	0.474	3.38E-22
RPL28	-0.54829	1.17E-26	0.829	0.938	3.79E-22
NINJ1	1.170675	1.25E-26	0.67	0.397	4.03E-22
CD177	-2.42696	1.67E-26	0.06	0.23	5.40E-22
STAT3	-1.24745	2.34E-26	0.381	0.599	7.56E-22
DUSP5	2.360491	2.54E-26	0.316	0.073	8.21E-22
TAGLN2	0.952785	3.13E-26	0.783	0.627	1.01E-21
NCF2	-1.03374	3.36E-26	0.452	0.657	1.08E-21
EGLN3	3.07642	4.83E-26	0.261	0.038	1.56E-21
RPL35A	-0.4024	5.37E-26	0.953	0.996	1.73E-21
SMOX	1.355674	8.05E-26	0.56	0.28	2.60E-21
RPS28	-0.45486	1.01E-25	0.939	0.988	3.27E-21
RPSA	-0.57172	1.23E-25	0.857	0.948	3.97E-21
FAM174A	-1.65232	1.76E-25	0.145	0.355	5.69E-21
ZFP36	-0.84676	3.38E-25	0.534	0.734	1.09E-20
INHBA	5.171067	3.59E-25	0.217	0.016	1.16E-20
B4GALT1	2.603091	4.02E-25	0.281	0.052	1.30E-20
HPGD	-4.38573	5.66E-25	0.006	0.107	1.83E-20
EIF3E	-1.01215	5.72E-25	0.433	0.635	1.85E-20
KLF13	-1.32227	5.84E-25	0.245	0.464	1.89E-20
RGS1	4.400347	5.93E-25	0.226	0.022	1.91E-20
RPS15	-0.49206	6.23E-25	0.891	0.972	2.01E-20
TRPS1	-0.78973	6.34E-25	0.536	0.756	2.05E-20
SBNO2	-1.56497	8.76E-25	0.186	0.401	2.83E-20
PPFIA4	-4.23133	1.18E-24	0.01	0.117	3.80E-20
CASP1	-1.89588	1.35E-24	0.087	0.27	4.37E-20
RPL21	-0.46149	1.44E-24	0.908	0.974	4.65E-20
ANXA3	1.654227	1.53E-24	0.413	0.159	4.93E-20
MALT1	1.93746	1.60E-24	0.365	0.121	5.16E-20
ATP5PD	-0.66629	2.13E-24	0.686	0.835	6.88E-20
CD24	3.79884	2.80E-24	0.217	0.018	9.04E-20
TNFSF13	-1.99043	2.91E-24	0.076	0.246	9.39E-20
MSR1	1.14636	4.37E-24	0.577	0.319	1.41E-19
RAC2	-0.87491	4.61E-24	0.473	0.683	1.49E-19
GSN	1.00112	4.89E-24	0.663	0.425	1.58E-19
ASS1	4.947332	4.94E-24	0.2	0.01	1.60E-19
TNFAIP8L2	-1.66082	5.02E-24	0.133	0.331	1.62E-19
TBXAS1	1.714519	5.24E-24	0.371	0.125	1.69E-19
RPS3	-0.38313	5.81E-24	0.966	0.99	1.88E-19
CALM2	0.8032	6.29E-24	0.821	0.629	2.03E-19
LTB4R	1.164288	9.75E-24	0.612	0.361	3.15E-19
ADGRE1	-1.36633	1.19E-23	0.171	0.387	3.84E-19
SLC3A2	1.12344	1.54E-23	0.594	0.329	4.99E-19
ITGB7	-1.5159	1.61E-23	0.152	0.359	5.19E-19
SLC15A3	1.397861	1.76E-23	0.485	0.222	5.69E-19
P4HB	1.343625	1.85E-23	0.566	0.308	5.96E-19
C1QB	4.233859	2.06E-23	0.229	0.032	6.65E-19
MYL12B	-1.03712	2.20E-23	0.346	0.558	7.12E-19
UBB	0.513603	5.32E-23	0.986	0.964	1.72E-18
TUBA1B	1.098086	5.35E-23	0.61	0.361	1.73E-18
RPL19	-0.38403	6.14E-23	0.94	0.984	1.98E-18
OGFRL1	-2.06678	6.69E-23	0.067	0.228	2.16E-18
GYG1	-1.81252	7.80E-23	0.107	0.286	2.52E-18
FNDC3A	1.516777	8.28E-23	0.487	0.248	2.67E-18
CREB5	4.341771	9.80E-23	0.197	0.014	3.16E-18
LGALS3	0.794998	1.19E-22	0.983	0.978	3.84E-18
NACA	-0.62011	1.51E-22	0.76	0.879	4.88E-18
RPS6	-0.37868	1.83E-22	0.95	0.984	5.90E-18
FPR2	-1.95188	2.71E-22	0.082	0.248	8.75E-18
PI16	-1.98038	2.88E-22	0.07	0.23	9.31E-18
GPX4	-0.7025	2.92E-22	0.617	0.778	9.42E-18
GLIPR1	-1.36196	3.79E-22	0.151	0.353	1.22E-17
FLT3	-3.93411	4.17E-22	0.006	0.097	1.35E-17
SLPI	-0.09207	5.64E-22	0.298	0.565	1.82E-17
TMSB10	-0.48279	6.78E-22	0.87	0.946	2.19E-17
UNC93B1	-1.1339	7.13E-22	0.288	0.496	2.30E-17
EIF4EBP1	1.161674	1.01E-21	0.602	0.383	3.27E-17
MT2A	3.074487	1.01E-21	0.293	0.083	3.27E-17
IFI30	-0.73661	1.05E-21	0.568	0.74	3.39E-17
IER3	0.797704	1.20E-21	0.84	0.712	3.88E-17
ANXA1	-0.93345	1.24E-21	0.458	0.653	3.99E-17
EHD1	1.308235	1.26E-21	0.452	0.2	4.07E-17
RPS13	-0.39997	1.92E-21	0.929	0.968	6.20E-17
ANTXR2	1.81223	2.30E-21	0.361	0.135	7.42E-17
LIMD2	-1.79858	2.50E-21	0.097	0.266	8.08E-17
PDE4D	2.767536	2.67E-21	0.257	0.056	8.64E-17
IL17RA	-1.48882	3.54E-21	0.149	0.337	1.14E-16
THBS1	0.890559	4.30E-21	0.754	0.554	1.39E-16
CASP4	-1.95753	4.33E-21	0.088	0.252	1.40E-16
EEF1B2	-0.7829	5.06E-21	0.472	0.677	1.63E-16
CD48	-1.22991	6.99E-21	0.23	0.425	2.26E-16
IDH1	-1.464	7.82E-21	0.153	0.337	2.53E-16
EIF3H	-0.77447	9.65E-21	0.524	0.706	3.12E-16
SNTB1	-6.32835	1.13E-20	0.002	0.075	3.65E-16
MXI1	1.796876	1.19E-20	0.313	0.095	3.85E-16
VASP	1.308902	1.24E-20	0.481	0.242	4.01E-16
RAB5C	1.055753	1.27E-20	0.544	0.3	4.10E-16
RPS29	-0.30228	1.30E-20	0.971	0.998	4.21E-16
PPT1	-1.206	1.42E-20	0.227	0.427	4.59E-16
FYB1	-0.84202	1.52E-20	0.373	0.599	4.91E-16
TUBB6	1.000622	1.55E-20	0.562	0.302	4.99E-16
ITGA4	-2.1114	1.97E-20	0.078	0.232	6.37E-16
MMP19	1.675862	2.00E-20	0.505	0.292	6.45E-16
HACD4	-1.34218	2.28E-20	0.144	0.333	7.36E-16
CHD7	1.410615	2.49E-20	0.419	0.183	8.04E-16
EIF3K	-0.76392	2.57E-20	0.544	0.718	8.29E-16
RPS20	-0.47762	2.98E-20	0.831	0.925	9.63E-16
TCF7L2	2.163621	3.44E-20	0.249	0.054	1.11E-15
HMOX1	1.79632	3.59E-20	0.541	0.31	1.16E-15
FCGR3A	0.638143	3.74E-20	0.898	0.812	1.21E-15
LRMDA	-1.11704	4.10E-20	0.272	0.482	1.32E-15
EIF5	1.051512	4.36E-20	0.547	0.298	1.41E-15
RPL41	-0.31725	4.81E-20	0.98	0.998	1.55E-15
IFRD1	0.836397	4.87E-20	0.704	0.47	1.57E-15
SQSTM1	1.648436	5.28E-20	0.406	0.171	1.71E-15
ASAP1	-1.4739	5.29E-20	0.195	0.377	1.71E-15
BAX	1.035426	6.43E-20	0.604	0.381	2.08E-15
TGFBI	0.734871	7.02E-20	0.855	0.845	2.27E-15
PID1	0.791208	7.38E-20	0.758	0.573	2.38E-15
XDH	-1.40496	8.27E-20	0.129	0.308	2.67E-15
RPS15A	-0.39535	8.35E-20	0.948	0.984	2.70E-15
RASSF4	-1.5038	8.56E-20	0.145	0.327	2.76E-15
CD86	0.947965	8.85E-20	0.62	0.363	2.86E-15
RAI14	3.40061	1.15E-19	0.191	0.022	3.70E-15
FCGR1A	1.142168	1.24E-19	0.548	0.321	4.00E-15
BTG2	-0.50578	1.36E-19	0.758	0.887	4.40E-15
STAB1	2.169037	1.78E-19	0.237	0.048	5.74E-15
CTSZ	0.656092	2.08E-19	0.831	0.712	6.71E-15
APP	0.798923	2.29E-19	0.731	0.532	7.38E-15
TMBIM6	0.675629	3.27E-19	0.795	0.635	1.05E-14
MAN2B1	-1.14209	3.66E-19	0.24	0.438	1.18E-14
SLC7A8	2.828478	4.42E-19	0.216	0.04	1.43E-14
RPS19	-0.30378	6.31E-19	0.97	0.998	2.04E-14
CSF3R	-2.11027	8.93E-19	0.045	0.171	2.88E-14
PLGRKT	1.854853	1.11E-18	0.292	0.091	3.59E-14
YBX1	0.612369	1.13E-18	0.823	0.746	3.63E-14
CCL24	6.382369	1.71E-18	0.156	0.008	5.52E-14
IL1RN	1.840812	1.78E-18	0.297	0.097	5.76E-14
PRR13	-0.83541	1.81E-18	0.412	0.613	5.85E-14
SNX3	0.976312	1.99E-18	0.584	0.353	6.43E-14
C1GALT1C1	-1.86885	2.09E-18	0.057	0.192	6.74E-14
FXYD5	-0.35862	2.29E-18	0.934	0.972	7.41E-14
S100A4	-0.43609	2.58E-18	0.785	0.938	8.34E-14
LAMTOR4	-1.00853	2.71E-18	0.366	0.544	8.75E-14
GAMT	-3.34259	3.28E-18	0.018	0.111	1.06E-13
CFP	1.028357	3.32E-18	0.548	0.339	1.07E-13
GABARAP	0.49962	3.37E-18	0.9	0.78	1.09E-13
RPS25	-0.36238	3.54E-18	0.935	0.984	1.14E-13
PILRA	1.32784	3.67E-18	0.412	0.196	1.18E-13
RPL8	-0.32911	4.14E-18	0.957	0.99	1.34E-13
CALM3	1.18822	4.48E-18	0.477	0.26	1.45E-13
ARHGEF18	-5.28719	4.53E-18	0.002	0.069	1.46E-13
NRROS	-1.24783	5.70E-18	0.237	0.411	1.84E-13
BHLHE40	2.60917	6.94E-18	0.197	0.032	2.24E-13
NIBAN1	-1.50722	6.96E-18	0.086	0.236	2.25E-13
PDIA6	1.035176	7.11E-18	0.668	0.482	2.29E-13
ATP6V0C	0.449179	7.55E-18	0.937	0.907	2.44E-13
RPL39	-0.4342	7.82E-18	0.867	0.954	2.52E-13
F5	-1.56597	7.98E-18	0.077	0.224	2.57E-13
GRINA	1.491384	8.24E-18	0.388	0.181	2.66E-13
NPC2	-0.38696	8.46E-18	0.811	0.911	2.73E-13
RAN	1.024629	9.19E-18	0.546	0.335	2.97E-13
ATP5F1C	-0.80675	9.48E-18	0.487	0.645	3.06E-13
ADD3	-1.94843	9.54E-18	0.079	0.22	3.08E-13
MRC1	3.566447	1.02E-17	0.169	0.018	3.29E-13
ATRNL1	-1.04343	1.03E-17	0.298	0.474	3.32E-13
NDUFAF7	-3.05474	1.25E-17	0.021	0.117	4.05E-13
VIM	0.668183	1.39E-17	0.921	0.905	4.50E-13
CCPG1	-2.2561	1.43E-17	0.038	0.151	4.62E-13
VAT1	3.404551	1.52E-17	0.162	0.014	4.92E-13
BACH2	2.739303	1.59E-17	0.201	0.038	5.13E-13
PITPNC1	2.220696	1.83E-17	0.257	0.079	5.91E-13
HSP90AA1	0.543075	1.89E-17	0.718	0.546	6.09E-13
RPL23	-0.3216	2.35E-17	0.951	0.988	7.60E-13
ARL4C	1.409115	2.38E-17	0.336	0.125	7.67E-13
GSTM1	-1.66439	2.45E-17	0.071	0.21	7.92E-13
VCAN	-0.91389	2.53E-17	0.425	0.595	8.15E-13
GCNT2	-1.2404	2.98E-17	0.166	0.341	9.62E-13
CUX1	2.512514	3.07E-17	0.253	0.075	9.91E-13
HEXA	-0.76548	3.49E-17	0.438	0.611	1.13E-12
PGM1	2.96641	3.54E-17	0.174	0.022	1.14E-12
PFDN5	-0.63333	3.96E-17	0.63	0.772	1.28E-12
EEF2	-0.62747	4.12E-17	0.668	0.786	1.33E-12
CLIC1	0.581414	4.13E-17	0.869	0.744	1.33E-12
CD33	-2.26965	4.62E-17	0.034	0.143	1.49E-12
C1QA	4.965662	4.63E-17	0.153	0.012	1.49E-12
ARL15	-1.72668	4.68E-17	0.093	0.236	1.51E-12
CD80	1.200389	4.81E-17	0.431	0.222	1.55E-12
PDIA4	1.816908	4.88E-17	0.295	0.105	1.57E-12
CDC42EP3	-2.1144	5.02E-17	0.04	0.153	1.62E-12
CYFIP1	1.487638	5.10E-17	0.352	0.149	1.65E-12
NDUFA6	-0.8801	5.71E-17	0.366	0.536	1.84E-12
ATP2B4	3.272396	6.71E-17	0.173	0.024	2.17E-12
RAPH1	3.311877	7.19E-17	0.16	0.016	2.32E-12
IL37	3.938807	7.61E-17	0.156	0.014	2.46E-12
CCDC88C	-4.35024	7.95E-17	0.006	0.075	2.57E-12
CYTIP	-0.70669	8.77E-17	0.424	0.637	2.83E-12
ABCA1	1.824985	9.05E-17	0.244	0.067	2.92E-12
FN1	0.862563	9.65E-17	0.778	0.712	3.11E-12
GPAT3	2.201697	1.14E-16	0.227	0.06	3.69E-12
CARD19	0.881433	1.17E-16	0.626	0.415	3.79E-12
CTSB	0.792408	1.20E-16	0.88	0.831	3.86E-12
VDAC1	1.299757	1.22E-16	0.386	0.177	3.93E-12
DUSP22	-1.892	1.47E-16	0.063	0.19	4.75E-12
TIMM10B	-0.93365	1.76E-16	0.321	0.492	5.69E-12
C1QC	4.040016	1.96E-16	0.168	0.024	6.32E-12
TIMP1	2.436431	2.04E-16	0.238	0.069	6.58E-12
IL10RB	1.102253	2.53E-16	0.428	0.212	8.16E-12
PROS1	-2.2678	2.57E-16	0.038	0.147	8.30E-12
TMEM189	1.508255	3.26E-16	0.335	0.145	1.05E-11
PSMA7	-0.61749	3.31E-16	0.63	0.766	1.07E-11
GOT1	2.721197	3.58E-16	0.18	0.03	1.16E-11
P4HA1	1.217699	3.82E-16	0.346	0.141	1.23E-11
ECI2	-2.04273	3.96E-16	0.052	0.169	1.28E-11
EIF3M	-0.9216	4.76E-16	0.312	0.486	1.54E-11
GNG5	0.58988	6.38E-16	0.818	0.704	2.06E-11
CALR	0.773499	6.70E-16	0.743	0.611	2.16E-11
RPL29	-0.41867	7.23E-16	0.823	0.94	2.33E-11
CARHSP1	2.092908	7.30E-16	0.233	0.067	2.36E-11
SVIP	-4.5298	7.48E-16	0.005	0.069	2.41E-11
NT5E	4.003984	7.77E-16	0.144	0.012	2.51E-11
USE1	-0.97125	9.54E-16	0.261	0.433	3.08E-11
IKBKB	-1.23294	9.63E-16	0.196	0.355	3.11E-11
FURIN	1.461569	9.67E-16	0.323	0.133	3.12E-11
NAAA	-1.19751	1.09E-15	0.201	0.365	3.52E-11
LBR	-1.76334	1.13E-15	0.07	0.198	3.64E-11
ATP8A1	-1.48159	1.16E-15	0.102	0.244	3.75E-11
