Gene_Symbol	logFC	pv	pct.1	pct.2	p_val_adj
RBBP8	-0.74005	3.22E-08	0.068	0.151	0.001041
ARHGEF18	-3.06253	1.29E-18	0.007	0.069	4.18E-14
RAB44	-1.39342	1.92E-13	0.029	0.109	6.19E-09
ADAM8	1.291682	3.50E-08	0.245	0.151	0.001131
RBM47	1.211015	2.10E-12	0.395	0.284	6.77E-08
DOK2	2.541599	4.51E-16	0.207	0.058	1.46E-11
PHF21A	-0.90059	2.73E-12	0.084	0.202	8.83E-08
IKZF1	-1.33207	9.52E-22	0.088	0.254	3.07E-17
JAML	-2.65954	2.22E-33	0.018	0.145	7.16E-29
STXBP6	-0.69563	3.68E-11	0.1	0.222	1.19E-06
SMPDL3A	-0.88142	8.54E-38	0.551	0.847	2.76E-33
STAT3	-0.95022	5.29E-25	0.318	0.599	1.71E-20
CDK14	1.978293	6.16E-18	0.273	0.101	1.99E-13
NT5DC2	2.014948	3.17E-08	0.154	0.067	0.001022
RAI14	2.963323	1.47E-08	0.1	0.022	0.000473
CUX1	-1.05014	1.13E-15	0.085	0.22	3.66E-11
ST3GAL4	-1.13784	5.42E-25	0.146	0.371	1.75E-20
KLF13	-0.79084	2.52E-20	0.224	0.464	8.12E-16
ASAP1	-0.51983	1.64E-09	0.215	0.377	5.31E-05
RNASEL	-1.25907	4.20E-13	0.052	0.149	1.36E-08
ST8SIA4	-2.58062	1.83E-42	0.024	0.185	5.92E-38
PROS1	-1.23506	6.35E-13	0.051	0.147	2.05E-08
ST7	-1.09887	1.81E-07	0.035	0.093	0.005845
KCNRG	-0.96157	7.47E-08	0.045	0.111	0.002411
PPP1R15A	-0.80244	6.14E-14	0.107	0.25	1.98E-09
KCTD12	-0.49047	5.09E-07	0.1	0.194	0.016435
BTLA	-2.48593	2.68E-08	0.004	0.032	0.000864
WDFY2	-0.71663	1.13E-07	0.061	0.137	0.003661
POU2F2	-0.56236	8.92E-09	0.105	0.214	0.000288
SVIL	-0.71125	2.55E-13	0.192	0.369	8.22E-09
HLX	-1.80382	3.34E-18	0.023	0.111	1.08E-13
ATP2B4	3.201584	5.58E-10	0.114	0.024	1.80E-05
MAP3K5	-0.73167	5.20E-09	0.124	0.24	0.000168
FOSB	-0.80049	1.27E-10	0.092	0.204	4.09E-06
DDX28	-1.30737	7.46E-07	0.019	0.06	0.024085
SSBP2	-1.50812	4.67E-12	0.025	0.095	1.51E-07
ITGA4	-1.2117	3.53E-16	0.092	0.232	1.14E-11
NFIL3	-1.15602	2.52E-29	0.173	0.435	8.14E-25
DOCK10	-0.37909	6.02E-08	0.235	0.389	0.001943
NEDD9	-0.7362	6.15E-16	0.185	0.381	1.99E-11
SPATA6	-1.51123	2.81E-11	0.028	0.097	9.06E-07
NLRP12	-4.34579	2.46E-11	0.001	0.026	7.93E-07
ARHGAP24	-0.5532	1.21E-10	0.199	0.365	3.91E-06
MOB3B	-1.13288	1.36E-11	0.042	0.125	4.40E-07
ARID5A	-1.57224	1.94E-26	0.064	0.23	6.25E-22
CD44	-0.32637	2.95E-07	0.67	0.819	0.009511
CCDC88A	-0.67558	4.75E-08	0.095	0.192	0.001533
ABCA6	-3.10118	5.52E-16	0.005	0.056	1.78E-11
CRIP1	0.577471	8.58E-27	0.953	0.94	2.77E-22
GOT1	2.988562	4.98E-13	0.147	0.03	1.61E-08
FBXL20	-1.3004	2.10E-09	0.024	0.081	6.79E-05
TLR2	-0.5211	7.38E-10	0.245	0.421	2.38E-05
PTPRO	-1.20659	3.82E-18	0.073	0.212	1.23E-13
LAT2	1.330054	1.29E-07	0.241	0.151	0.00415
TSC22D3	-0.84064	7.77E-18	0.172	0.379	2.51E-13
MPP1	-0.94814	2.35E-14	0.118	0.268	7.59E-10
CLEC12A	-1.09763	3.75E-27	0.202	0.464	1.21E-22
PLAUR	-0.35593	1.74E-07	0.387	0.577	0.00562
KCNN4	4.971301	6.53E-07	0.052	0.002	0.021085
KYNU	-2.53326	2.36E-09	0.005	0.038	7.61E-05
CBFA2T3	-1.04599	8.75E-09	0.039	0.107	0.000283
COX6B2	-1.58535	8.83E-10	0.019	0.073	2.85E-05
DOCK8	-0.63835	3.23E-07	0.108	0.204	0.010439
COX7A2L	-0.82262	2.23E-30	0.433	0.756	7.19E-26
GLUL	-0.86591	7.69E-17	0.122	0.292	2.48E-12
ICAM2	-1.65347	4.76E-11	0.022	0.083	1.54E-06
SIRT3	-2.6138	4.62E-10	0.005	0.04	1.49E-05
BST1	-0.87254	2.85E-18	0.153	0.349	9.21E-14
FCGR1A	1.036811	8.63E-13	0.441	0.321	2.79E-08
DDX3Y	-1.20093	3.39E-17	0.092	0.24	1.09E-12
FAM174A	-1.16591	2.38E-26	0.132	0.355	7.67E-22
LY86	-0.68176	3.33E-12	0.223	0.411	1.07E-07
UBXN2A	-1.92596	4.09E-09	0.014	0.058	0.000132
ORAI1	-0.97214	1.43E-15	0.116	0.272	4.61E-11
KLF6	-0.78043	1.58E-19	0.232	0.472	5.10E-15
TUBA1B	-0.56527	5.25E-12	0.185	0.361	1.70E-07
ITGB5	1.561159	1.15E-06	0.148	0.071	0.03716
UNC119	-0.91298	5.20E-10	0.07	0.165	1.68E-05
NINJ1	1.192911	5.33E-24	0.571	0.397	1.72E-19
BZW2	-1.04888	4.59E-08	0.039	0.103	0.001481
NDRG1	-0.86363	8.00E-07	0.041	0.099	0.025819
SQOR	-0.60469	1.18E-06	0.108	0.2	0.038035
SGMS1	-1.11953	5.01E-13	0.09	0.214	1.62E-08
HGSNAT	-1.73885	1.10E-23	0.041	0.171	3.56E-19
NLRP3	-0.69022	4.40E-10	0.112	0.232	1.42E-05
LILRB3	-0.74482	8.34E-21	0.377	0.649	2.69E-16
GCNT2	-0.83437	3.18E-15	0.159	0.341	1.03E-10
FAS	-0.87159	5.30E-07	0.048	0.111	0.017096
CRISPLD2	-2.74866	6.16E-11	0.006	0.044	1.99E-06
PLD1	-1.49272	1.82E-10	0.021	0.079	5.89E-06
STING1	-0.7669	1.41E-09	0.08	0.179	4.56E-05
CD37	-0.92531	5.93E-14	0.104	0.242	1.92E-09
ATG101	-1.28172	2.19E-20	0.091	0.252	7.06E-16
NR4A3	-0.92242	7.19E-09	0.043	0.113	0.000232
BIRC3	-1.20456	4.77E-22	0.107	0.29	1.54E-17
SSH2	-0.67504	1.32E-13	0.189	0.377	4.27E-09
GLIPR1	-0.39193	1.39E-08	0.199	0.353	0.000448
IL6ST	-1.22756	1.10E-06	0.027	0.075	0.03551
P2RY6	1.459545	5.10E-09	0.206	0.103	0.000165
CCDC125	-2.35419	8.11E-09	0.007	0.042	0.000262
FAM111A	-0.86068	7.21E-13	0.109	0.244	2.33E-08
KSR1	-1.52058	9.82E-07	0.013	0.048	0.031691
ARL15	-0.88452	3.66E-13	0.102	0.236	1.18E-08
COMMD8	-0.64063	1.37E-08	0.099	0.202	0.000441
AKAP13	-0.99643	5.80E-22	0.138	0.347	1.87E-17
XPR1	-0.7626	1.97E-09	0.062	0.149	6.36E-05
TFEC	-2.02845	4.70E-23	0.031	0.145	1.52E-18
CTDSPL	-2.13341	2.61E-14	0.01	0.067	8.42E-10
STOM	-0.74788	3.81E-08	0.071	0.155	0.001229
DEK	-0.57198	1.55E-07	0.095	0.19	0.005014
KLHL6	-1.27954	1.94E-09	0.021	0.075	6.27E-05
MKNK2	-1.17983	2.22E-10	0.036	0.109	7.17E-06
FGR	-0.65999	2.73E-17	0.27	0.518	8.82E-13
CASK	-1.18317	2.82E-14	0.063	0.175	9.10E-10
PPFIA4	-1.32046	9.55E-13	0.035	0.117	3.08E-08
SLC66A3	-1.09094	4.21E-10	0.032	0.101	1.36E-05
TRPS1	-0.30714	7.05E-08	0.542	0.756	0.002278
FBXL5	-1.22698	3.72E-25	0.115	0.317	1.20E-20
NFE2L2	-0.47835	2.45E-12	0.362	0.593	7.91E-08
XRCC4	-1.01089	5.10E-07	0.041	0.099	0.016471
TLR4	-1.0265	3.92E-08	0.067	0.147	0.001266
KLF3	-0.80723	1.56E-14	0.138	0.306	5.05E-10
MFGE8	-1.81612	3.01E-07	0.009	0.042	0.009707
RASGRP2	-0.8112	1.06E-15	0.077	0.214	3.42E-11
F11R	-1.15667	1.00E-08	0.036	0.101	0.000323
ARHGEF6	-1.68484	1.17E-09	0.017	0.069	3.76E-05
SUSD3	-0.57495	4.88E-07	0.113	0.21	0.015771
MFSD6	-0.94894	1.04E-07	0.038	0.099	0.00335
CCDC88C	-2.60899	1.13E-17	0.009	0.075	3.66E-13
NHSL2	-1.20557	1.24E-06	0.015	0.052	0.040151
ATP6V0A1	-0.80849	4.45E-08	0.084	0.173	0.001437
SEPHS2	-0.69197	1.52E-08	0.057	0.137	0.00049
EMB	-0.88272	2.03E-41	0.523	0.861	6.57E-37
CCND3	-0.79245	2.41E-18	0.263	0.492	7.80E-14
PLSCR3	-1.51698	6.58E-08	0.015	0.056	0.002125
CISD1	-0.97601	6.06E-08	0.051	0.121	0.001957
BTG3	-0.85073	3.00E-07	0.047	0.111	0.009696
STAB1	2.218797	6.18E-12	0.166	0.048	2.00E-07
HOMER1	-1.51318	6.73E-24	0.06	0.212	2.17E-19
LBR	-1.08432	4.42E-15	0.072	0.198	1.43E-10
MTUS1	-1.29844	2.46E-12	0.04	0.125	7.94E-08
PLEKHG1	-1.51721	3.44E-13	0.023	0.095	1.11E-08
MBNL1	-0.6076	3.02E-11	0.19	0.359	9.75E-07
RCSD1	-1.10006	2.33E-11	0.043	0.127	7.54E-07
STK38	-0.90957	1.45E-09	0.045	0.121	4.70E-05
CYSLTR1	-0.77221	1.18E-09	0.058	0.145	3.81E-05
PLA2G7	-0.51744	2.58E-14	0.462	0.708	8.34E-10
SEC24B	-0.72592	3.24E-10	0.092	0.204	1.05E-05
RAPGEF6	-0.90288	1.40E-09	0.08	0.177	4.51E-05
OGFRL1	-1.06588	3.31E-16	0.086	0.228	1.07E-11
CENPA	2.197643	9.47E-07	0.105	0.036	0.030572
ETFBKMT	-1.95188	9.13E-08	0.005	0.032	0.002947
VIM	0.618376	5.64E-22	0.924	0.905	1.82E-17
LGALS3	0.41	2.08E-13	0.985	0.978	6.71E-09
PINK1	-1.21288	1.11E-06	0.022	0.065	0.035963
ATG10	-1.50192	9.37E-09	0.02	0.071	0.000302
NABP1	-0.78091	6.23E-11	0.072	0.175	2.01E-06
INSIG1	2.595667	5.89E-08	0.101	0.026	0.001902
RIPK2	-1.07704	3.19E-09	0.042	0.113	0.000103
HAVCR2	1.726106	3.85E-08	0.165	0.075	0.001243
DPEP2	-0.60486	6.75E-07	0.054	0.121	0.021784
GLS	-0.63725	9.47E-07	0.08	0.159	0.030585
TYK2	-1.49356	4.96E-07	0.012	0.046	0.016003
TNFAIP2	-0.85711	2.56E-09	0.062	0.147	8.27E-05
NDEL1	-0.57604	4.00E-14	0.329	0.567	1.29E-09
NQO2	-1.57541	2.09E-11	0.023	0.087	6.75E-07
IDH1	-1.12144	5.21E-23	0.131	0.337	1.68E-18
NFE2	-1.70365	1.86E-09	0.011	0.052	6.00E-05
ESD	0.94713	2.03E-16	0.606	0.54	6.55E-12
CLK1	-0.6383	3.17E-10	0.137	0.274	1.02E-05
RASSF1	-0.56472	3.09E-11	0.163	0.325	9.97E-07
CSRNP1	-1.21582	5.48E-27	0.097	0.3	1.77E-22
