Gene_Symbol	logFC	p_val_adj	pv
RETREG1	-0.676414699	0.005	5.57E-42
CLYBL	-0.31727036	0.005	1.07E-41
MCU	-0.086160234	0.005	2.50E-41
ERMP1	-0.487682379	0.005	3.94E-41
CASC3	-0.054341964	0.005	7.62E-39
ELMO3	-0.359432986	0.005	1.01E-38
PRKAA1	-0.331362408	0.005	2.34E-38
NKIRAS2	-0.21524779	0.005	3.35E-38
ZFYVE21	-0.280397471	0.005	1.64E-37
BNIP2	-0.099385338	0.005	8.60E-37
SHC1	0.248745651	0.005	1.39E-36
RNF103	-0.482872223	0.005	2.23E-36
ABLIM1	-0.549712553	0.005	2.34E-36
SEMA3C	-0.27116005	0.005	2.38E-35
PHLDA1	-0.007712728	0.005	3.50E-35
RDH14	-0.351095769	0.005	7.12E-35
SLC20A1	-1.663945655	0.005	7.75E-35
GAL3ST1	-0.643576626	0.005	7.75E-35
MPZL1	0.188071029	0.005	1.40E-34
PPP2R5C	-0.179826751	0.005	1.90E-33
TMEM115	0.002567336	0.005	2.55E-33
FAM110C	-0.428109588	0.005	2.60E-32
BFAR	-0.432082063	0.005	3.60E-32
FZD1	0.727933867	0.005	4.50E-32
LRRC75A	-0.116329694	0.005	7.58E-32
AFTPH	-0.207060547	0.005	1.44E-31
SMOC2	0.563664137	0.005	2.55E-31
TAF4	-0.325407047	0.005	3.52E-31
LCLAT1	-0.075086795	0.005	5.53E-31
EIF4G3	0.022398589	0.005	5.54E-31
PMEPA1	0.439448751	0.005	2.28E-30
RBMS1	0.191732464	0.005	2.28E-30
SMIM3	0.188659475	0.005	6.09E-30
FUCA2	-0.407176748	0.005	6.81E-30
BMP4	0.619040919	0.005	7.27E-30
LAMA5	0.003333332	0.005	8.36E-30
MTUS1	-0.153516798	0.005	2.64E-29
BSDC1	-0.357796908	0.005	3.76E-29
SLC37A4	-0.307109882	0.005	4.24E-29
DYM	-0.200467521	0.005	6.10E-29
CXCL1	-0.387198734	0.005	1.11E-28
CPPED1	-0.165226206	0.005	1.43E-28
EMP3	0.48074098	0.005	1.75E-28
SH3YL1	-0.431502811	0.005	3.96E-28
SOD3	0.684696171	0.005	4.73E-28
TSPAN4	0.965428875	0.005	2.30E-27
ENG	0.638621652	0.005	3.57E-27
MMP13	-0.273795632	0.005	8.07E-27
TICAM1	-0.263689951	0.005	1.15E-26
GALM	-0.533593121	0.005	3.16E-26
CXCL14	0.523006446	0.005	4.81E-26
PARP3	0.098069167	0.005	2.36E-25
PLEKHA8	-0.339647768	0.005	3.48E-25
CABLES1	-1.26713563	0.005	4.58E-25
WDTC1	-0.442787586	0.005	4.86E-25
MARVELD2	-0.142114452	0.005	7.05E-25
SLC11A2	-0.962540766	0.005	9.59E-25
EEF1AKMT1	0.004057887	0.005	1.19E-24
SLC43A3	0.829051755	0.005	1.33E-24
STXBP3	-0.16015719	0.005	1.40E-24
ATG13	-0.194182931	0.005	2.09E-24
PTGS2	-0.95807578	0.005	2.80E-24
LAMB1	1.059787136	0.005	3.14E-24
PPIC	0.583086587	0.005	3.96E-24
RETSAT	-0.313727812	0.005	4.13E-24
LSP1	0.300008155	0.005	4.86E-24
USP3	-0.26315334	0.005	2.76E-23
MICU1	-0.322553407	0.005	3.72E-23
PLAU	0.341074694	0.005	5.22E-23
ASCC1	-0.186843312	0.005	6.72E-23
PRKCZ	-0.514965262	0.005	7.39E-23
EXOC3	-0.041861603	0.005	8.86E-23
GPATCH8	-0.440802492	0.005	9.97E-23
TTC38	-0.38926675	0.005	1.05E-22
PDPN	0.698957196	0.005	1.15E-22
NKX2-3	0.503401612	0.005	1.33E-22
ACOT9	0.18568593	0.005	2.06E-22
CXCL3	#N/A	0.005	6.20E-22
PDGFRA	1.005977544	0.005	1.62E-21
ABCG2	-1.057284069	0.005	2.87E-21
SPON2	-0.072323955	0.005	3.71E-21
CCL3	-1.851971423	0.005	4.27E-21
TADA3	-0.166193645	0.005	5.65E-21
EZH1	-0.443833854	0.005	6.23E-21
LRRC1	-0.170739996	0.005	6.32E-21
PDGFRB	0.531963596	0.005	6.32E-21
HMOX1	-0.0807534	0.005	6.32E-21
SHISA2	-0.284416066	0.005	6.57E-21
IGF2BP2	-0.165362708	0.005	8.24E-21
SERPINE1	0.558538539	0.005	1.14E-20
PXMP4	-0.76075551	0.005	1.39E-20
MAP4K4	0.237795372	0.005	1.54E-20
SAMD10	-0.128036648	0.005	1.62E-20
ACSL4	0.494982337	0.005	1.83E-20
A4GALT	0.222267509	0.005	2.28E-20
NLGN2	-0.092866995	0.005	2.67E-20
ARF4	0.321403266	0.005	3.27E-20
TBC1D1	0.142631272	0.005	6.56E-20
ETFDH	-0.246817575	0.005	7.63E-20
RHBDF2	0.069858324	0.005	8.74E-20
CNKSR3	-0.569200459	0.005	1.04E-19
PF4	0.361577873	0.005	1.26E-19
NRG1	0.300828191	0.005	1.49E-19
SNX18	0.452256931	0.005	1.82E-19
CROT	-0.514766062	0.005	2.57E-19
CCL4	-1.369248951	0.005	2.61E-19
DACT2	-0.688027324	0.005	3.88E-19
PROCR	0.750286151	0.005	5.13E-19
PFKFB3	0.190857997	0.005	5.55E-19
PPP1R18	0.554887884	0.005	8.22E-19
CHPF	0.297297297	0.005	9.10E-19
MAP1S	0.026412965	0.005	1.02E-18
PTGR1	0.148158968	0.005	1.51E-18
LOXL2	0.508523153	0.005	1.69E-18
GRHL2	-0.071869518	0.005	2.95E-18
TMEM100	-0.518790556	0.005	3.82E-18
IL11	-1.282260955	0.005	3.84E-18
EFEMP2	0.28929473	0.005	4.25E-18
REEP6	-0.656539426	0.005	5.61E-18
G0S2	-0.663302013	0.005	1.01E-17
SH3PXD2B	0.468308219	0.005	1.57E-17
CSRNP1	0.651180284	0.005	4.50E-17
GPX8	0.232705029	0.005	4.76E-17
TGFA	-0.180185763	0.005	5.71E-17
PHKB	-0.321748044	0.005	7.28E-17
SERPINE2	-0.369268833	0.005	8.57E-17
SLC25A16	-0.100520309	0.005	1.02E-16
TM4SF1	0.493402223	0.005	1.28E-16
FSCN1	0.513851902	0.005	1.43E-16
IL1RL1	-0.489996757	0.005	1.82E-16
ATG14	-0.395163685	0.005	3.06E-16
SNX14	-0.249829191	0.005	3.08E-16
PLXND1	0.410752584	0.005	3.28E-16
JDP2	0.410233058	0.005	3.57E-16
PPFIBP1	0.214270419	0.005	3.68E-16
BCO2	-0.810278076	0.005	4.38E-16
IFT172	-0.100131814	0.005	4.54E-16
ESAM	0.360525796	0.005	4.65E-16
DDAH2	0.022101631	0.005	5.56E-16
ITGB3	0.189738225	0.005	6.12E-16
GGT5	0.673829621	0.005	7.63E-16
PPFIBP2	-0.362826436	0.005	7.96E-16
TPK1	-0.26755515	0.005	7.96E-16
TMEM184A	-0.545734374	0.005	8.95E-16
YJU2	-0.140221781	0.005	8.99E-16
EVA1B	0.304351707	0.005	9.88E-16
SLC12A4	0.431537703	0.005	1.05E-15
BMI1	0.02317114	0.005	1.27E-15
AP3S2	-0.200943158	0.005	1.28E-15
S1PR1	0.656120756	0.005	1.33E-15
TMEM117	-0.158403064	0.005	1.33E-15
STRBP	-0.576810959	0.005	1.33E-15
SPHK1	-0.226732177	0.005	1.55E-15
SELENON	0.473594174	0.005	2.09E-15
GAS8	0.003542792	0.005	2.27E-15
SCN1B	0.875786956	0.005	2.38E-15
ALOX5AP	0.302894825	0.005	2.60E-15
APOOL	-0.11826866	0.005	3.53E-15
MTM1	-0.307588526	0.005	4.01E-15
CTNS	-0.430467108	0.005	4.01E-15
PDE4B	0.369099122	0.005	4.01E-15
CNNM3	-0.144099485	0.005	4.25E-15
PTGES	-0.099613591	0.005	4.37E-15
ADAM8	0.186510843	0.005	4.40E-15
CDH11	0.586898533	0.005	7.07E-15
KLHL5	0.28163894	0.005	9.26E-15
CP	0.557798475	0.005	9.29E-15
CYB5R1	0.303398268	0.005	1.02E-14
SLC34A2	-3.011743924	0.005	1.23E-14
EGFL7	-0.154319444	0.005	1.27E-14
LGI2	0.551245601	0.005	1.51E-14
PEAR1	0.410658562	0.005	1.52E-14
IL34	0.45817627	0.005	2.43E-14
FASTKD1	-0.332915898	0.005	3.22E-14
ABCC1	-0.067057544	0.005	3.65E-14
WDSUB1	-0.072997407	0.005	4.11E-14
OSMR	0.640878639	0.005	5.42E-14
RASIP1	0.244000967	0.005	5.77E-14
SRPX2	0.968953711	0.005	6.78E-14
KRT23	-0.857402417	0.005	7.04E-14
SGCB	0.131344767	0.005	7.23E-14
TIE1	0.732854368	0.005	7.54E-14
ARAP3	0.291426381	0.005	8.28E-14
PLA1A	-0.1808717	0.005	9.48E-14
SNAI1	0.461984227	0.005	9.67E-14
ACKR3	1.041180622	0.005	1.01E-13
EDNRA	0.944052589	0.005	1.10E-13
BMP7	0.799136812	0.005	1.10E-13
MYEF2	-0.077036111	0.005	1.25E-13
SMOC1	0.162029605	0.005	1.34E-13
CLEC4D	-1.470672658	0.005	1.36E-13
ROBO4	0.444429427	0.005	2.05E-13
SEMA6B	0.321984665	0.005	2.48E-13
SCARB1	0.060912934	0.005	2.53E-13
IRAK3	0.441446421	0.005	2.90E-13
PIGH	-0.408411128	0.005	2.90E-13
FMNL3	0.32472228	0.005	2.92E-13
RND1	-0.722540178	0.005	3.31E-13
PARP8	0.566690237	0.005	3.31E-13
IL1A	-2.063803014	0.005	4.31E-13
FGF7	-0.042400087	0.005	4.43E-13
FBF1	-0.218525663	0.005	5.16E-13
FOSL1	-0.606999515	0.005	5.51E-13
MFAP2	0.313943595	0.005	6.59E-13
DIO2	-1.931666027	0.005	7.45E-13
CEMIP	-1.181601021	0.005	8.37E-13
PAPPA	1.106600233	0.005	9.85E-13
P3H1	0.573060088	0.005	9.95E-13
FABP5	0.628702708	0.005	9.95E-13
MMP19	0.735746719	0.005	9.95E-13
SLC35A5	-0.357827852	0.005	1.08E-12
TOP3A	-0.102674392	0.005	1.27E-12
KCTD21	-0.236257984	0.005	1.33E-12
B9D1	-0.033369656	0.005	1.55E-12
BAG4	-0.292561101	0.005	1.71E-12
IBA57	0.000618923	0.005	2.04E-12
POLR3F	0.077064076	0.005	2.14E-12
ADCY4	0.657522132	0.005	2.60E-12
SNAI2	0.633455717	0.005	2.99E-12
STRADB	-0.692173473	0.005	2.99E-12
BDKRB1	0.846127846	0.005	2.99E-12
USP35	-0.467340258	0.005	2.99E-12
MAP3K8	0.069942793	0.005	3.01E-12
STX11	0.57123822	0.005	3.03E-12
EHD3	0.879704104	0.005	3.22E-12
VOPP1	-0.073474687	0.005	3.29E-12
NAB2	0.365430113	0.005	4.84E-12
VCAN	0.795483612	0.005	5.33E-12
ABO	-0.570175724	0.005	8.97E-12
MMP8	-2.928884803	0.005	1.12E-11
FHL3	0.399935537	0.005	1.23E-11
IER5L	0.502021133	0.005	1.87E-11
RENBP	0.46471007	0.005	2.04E-11
OSM	-1.69616748	0.005	2.11E-11
ASPRV1	-1.178551421	0.005	2.12E-11
ICE2	-0.507716115	0.005	2.18E-11
USHBP1	-0.192725238	0.005	2.33E-11
INHBB	0.877999923	0.005	2.34E-11
FPR1	-0.254844024	0.005	2.39E-11
SHANK3	0.486184398	0.005	3.93E-11
SLC7A11	0.120648827	0.005	4.42E-11
FLT1	0.810746056	0.005	6.34E-11
ARID5A	0.505116164	0.005	6.98E-11
MADCAM1	1.123692516	0.005	8.06E-11
ZBTB32	-1.076823773	0.005	8.06E-11
TRIM62	-0.475946695	0.005	8.18E-11
MSANTD3	-0.022565597	0.005	8.49E-11
CAMKK1	-0.26376007	0.005	9.03E-11
BEND7	-0.030874594	0.005	9.72E-11
ZNF3	-0.458739714	0.005	1.00E-10
HPS3	-0.185042215	0.005	1.08E-10
ARMT1	-0.089188758	0.005	1.47E-10
TMEM132A	0.39432934	0.005	1.50E-10
CCP110	-0.076157747	0.005	1.73E-10
NTNG2	0.02801284	0.005	1.82E-10
CYP7B1	0.474154004	0.005	2.17E-10
ARHGAP26	-0.25797138	0.005	2.41E-10
CLEC4E	-0.904337571	0.005	4.80E-10
TREM1	-0.780113385	0.005	5.67E-10
FAM92A	-0.076986966	0.005	6.34E-10
ZFP57	-0.066060775	0.005	6.89E-10
SPP1	-3.460746857	0.005	7.23E-10
SLC27A2	-1.244471394	0.005	7.23E-10
BTBD19	-0.005306446	0.005	1.01E-09
PRR16	-0.037356862	0.005	1.05E-09
NES	0.485104251	0.005	1.09E-09
ARTN	-0.017488902	0.005	1.27E-09
NLRP3	-0.212654206	0.005	1.37E-09
SLC29A4	-0.602662636	0.005	1.51E-09
MEOX1	0.51495826	0.005	1.65E-09
ERG	0.779575755	0.005	1.70E-09
HARBI1	-0.653386827	0.005	1.77E-09
PDE7B	0.265039007	0.005	1.83E-09
STC1	0.093293104	0.005	1.88E-09
TMEM140	-0.996950289	0.005	2.13E-09
HCAR2	-0.200130064	0.005	2.16E-09
LRRK2	0.030719381	0.005	2.16E-09
ARHGEF15	0.403487769	0.005	2.16E-09
CRYZ	-0.602240825	0.005	2.16E-09
TMEM88	0.34304555	0.005	2.16E-09
HDC	-0.258384509	0.005	2.16E-09
WNT4	0.519831004	0.005	2.16E-09
PHTF2	-0.171298158	0.005	2.79E-09
NOS3	0.149908967	0.005	3.76E-09
OBSL1	-0.016149193	0.005	4.69E-09
KLHDC7A	-0.458184752	0.005	4.89E-09
DMXL2	-0.380930349	0.005	5.19E-09
RSPO1	-0.250107237	0.005	6.48E-09
TGM1	#N/A	0.005	6.48E-09
IFT122	-0.32567414	0.005	6.74E-09
TNFRSF9	-0.299365616	0.005	1.11E-08
GPR4	0.152725144	0.005	1.13E-08
CD163L1	-0.318502883	0.005	1.14E-08
EMCN	0.082659911	0.005	1.35E-08
IL36G	#N/A	0.005	1.53E-08
CD80	0.661243912	0.005	1.54E-08
ATP10D	-0.014002081	0.005	1.61E-08
HOMER3	0.104114198	0.005	1.69E-08
OSBPL6	-0.853454385	0.005	1.92E-08
RTL5	-0.09593491	0.005	1.94E-08
GDF11	0.676424155	0.005	1.94E-08
TRDMT1	-0.757171835	0.005	1.94E-08
FGF9	-0.471857229	0.005	1.94E-08
PRX	0.167993975	0.005	2.20E-08
IL10	#N/A	0.005	2.33E-08
CFAP43	0.763194315	0.005	2.35E-08
TRPA1	0.054163024	0.005	3.00E-08
SOX17	0.123579907	0.005	3.79E-08
SLC7A2	#N/A	0.005	4.33E-08
IL1RL2	0.311194328	0.005	4.39E-08
APLN	0.336572248	0.005	5.38E-08
CKMT2	-2.088469343	0.005	5.40E-08
FCRLB	#N/A	0.005	5.44E-08
MARCO	#N/A	0.005	5.81E-08
SPINT2	-0.43647914	0.005	5.81E-08
ITM2B	-0.214865779	0.005	5.81E-08
ATP1B1	-0.274971551	0.005	5.81E-08
TMBIM6	-0.036248618	0.005	6.03E-08
CDHR5	-0.594205881	0.005	6.21E-08
IFITM2	0.779697163	0.005	7.84E-08
SLC6A14	-0.444308789	0.005	8.77E-08
NUDT4	-0.479699515	0.005	8.99E-08
RFK	-0.635890157	0.005	9.22E-08
IGFBP7	1.05751696	0.005	1.13E-07
TMEM59	-0.256019006	0.005	1.34E-07
DCN	0.847632352	0.005	1.43E-07
ACO2	-0.006376167	0.005	1.72E-07
SPARC	0.619917973	0.005	1.74E-07
TMEM176B	0.736286093	0.005	1.74E-07
TST	-0.700986357	0.005	1.74E-07
PTP4A2	-0.045228101	0.005	1.74E-07
GPX3	0.668379213	0.005	1.74E-07
MAX	-0.527577913	0.005	1.74E-07
IGFBP5	0.526688199	0.005	2.22E-07
FBP2	-0.29188624	0.005	2.26E-07
LGALS1	0.428239458	0.005	2.71E-07
NAGA	-0.201498493	0.005	3.40E-07
SERPINH1	0.339454966	0.005	3.88E-07
ERBB3	-0.588568238	0.005	4.02E-07
CTDSP2	-0.150233227	0.005	4.15E-07
MKRN1	-0.604724612	0.005	4.27E-07
PRR15L	-0.667332401	0.005	4.35E-07
CYP27B1	-0.686491966	0.005	4.71E-07
OCIAD2	-0.166760943	0.005	5.22E-07
TPM4	0.493248447	0.005	5.22E-07
THBS1	0.324533654	0.005	5.22E-07
PYY	-0.763302458	0.005	5.22E-07
FAM234A	-0.488717165	0.005	5.22E-07
PNPLA2	-0.278669809	0.005	5.22E-07
IGFBP4	0.595773076	0.005	5.22E-07
ANXA5	0.465586112	0.005	5.22E-07
RNF128	-0.030432053	0.005	6.64E-07
ARFGAP3	-0.254886492	0.005	7.01E-07
AK3	-0.075585624	0.005	7.92E-07
UAP1	-0.075193567	0.005	8.22E-07
ATP6AP2	-0.021960972	0.005	8.22E-07
SLC16A1	-0.514984274	0.005	9.20E-07
CEBPB	0.330578119	0.005	1.21E-06
IER3	-0.533030877	0.005	1.22E-06
VIPR1	-0.268082053	0.005	1.23E-06
ALDOB	-0.925812654	0.005	1.25E-06
CLPTM1	-0.041799593	0.005	1.26E-06
SLC44A1	-0.175823998	0.005	1.27E-06
CITED2	-0.331783042	0.005	0.005
GRAMD2B	-0.482577119	0.005	0.005
IFITM1	0.90343544	0.005	0.005
CXCL2	-2.401056579	0.005	0.005
PCBP2	0.047140976	0.005	0.005
DUSP1	-0.439543528	0.005	0.005
PLVAP	1.018485531	0.005	0.005
MMP14	0.503899466	0.005	0.005
TMEM176A	0.765174297	0.005	0.005
TMEM236	-0.506312978	0.005	0.005
IPMK	-0.587786963	0.005	0.005
CPT2	-0.276686457	0.005	0.005
HADHA	-0.237700603	0.005	0.005
MMP2	1.17627001	0.005	0.005
CCL2	0.367029819	0.005	0.005
IRF2	-0.242659853	0.005	0.005
EI24	-0.12158706	0.005	0.005
PTDSS1	-0.096929673	0.005	0.005
ECM1	0.471677024	0.005	0.005
ANXA11	-0.100419761	0.005	0.005
GRB7	-0.949065156	0.005	0.005
SLC31A1	-0.184574972	0.005	0.005
RMND5A	-0.493681887	0.005	0.005
ACTB	0.089094791	0.005	0.005
PIGR	0.31965374	0.005	0.005
IFITM2	0.779697163	0.005	0.005
FABP2	-0.933781916	0.005	0.005
MUC3A	-0.28371985	0.005	0.005
ATP2A3	0.244414278	0.005	0.005
HSD11B2	-0.07026206	0.005	0.005
GNAI2	0.130219273	0.005	0.005
CAP1	0.204218598	0.005	0.005
SMIM24	-0.713354591	0.005	0.005
CALML4	-0.382786613	0.005	0.005
IVNS1ABP	-0.377859118	0.005	0.005
MAOA	-0.675146908	0.005	0.005
TMEM176B	0.736286093	0.005	0.005
SLC9A3	-0.696363584	0.005	0.005
PAPSS2	-0.407516534	0.005	0.005
DPEP1	-0.91858109	0.005	0.005
SEMA4G	-0.781869311	0.005	0.005
ACP5	-0.165826563	0.005	0.005
H1-0	0.145687938	0.005	0.005
GPX3	0.668379213	0.005	0.005
RNF186	-0.336111586	0.005	0.005
YWHAB	0.140553482	0.005	0.005
TSTA3	0.193486566	0.005	0.005
NAGA	-0.201498493	0.005	0.005
SERPINH1	0.339454966	0.005	0.005
ADCY6	-0.398600912	0.005	0.005
TRPM4	-0.503490541	0.005	0.005
CYP27B1	-0.686491966	0.005	0.005
CRYL1	-0.514968878	0.005	0.005
ENTPD8	-0.823217848	0.005	0.005
TMEM171	-1.251953532	0.005	0.005
OCIAD2	-0.166760943	0.005	0.005
TFCP2L1	-0.365079477	0.005	0.005
SMIM22	-0.615258148	0.005	0.005
USH1C	-0.483878221	0.005	0.005
SMIM6	-0.250955207	0.005	0.005
PMM2	-0.124028058	0.005	0.005
PRKAR1A	0.18143789	0.005	0.005
SLC17A4	-1.281362155	0.005	0.005
BAIAP2L2	-0.510660066	0.005	0.005
ARL6IP5	0.133826223	0.005	0.005
HAO2	-1.067630316	0.005	0.005
MGST2	-1.004990527	0.005	0.005
SPDEF	0.261061559	0.005	0.005
REXO2	-0.00247836	0.005	0.005
KCNE3	0.263570808	0.005	0.005
NBL1	0.24785374	0.005	0.005
TSTD1	-0.489866075	0.005	0.005
VIPR1	-0.268082053	0.005	0.005
ALDOB	-0.925812654	0.005	0.005
PPP1R37	-0.209360527	0.005	0.005
ATP6AP1	-0.049334517	0.005	0.005
PLK1	-0.080775923	0.005	0.005
HOOK2	-0.471689702	0.005	0.005
SLC25A4	-0.071837847	0.005	0.005
APPL2	-0.749363693	0.005	0.005
PCSK7	-0.053640131	0.005	0.005
HGFAC	-0.071703166	0.005	0.005
NOXA1	0.016225897	0.005	0.005
CD81	0.178240046	0.005	0.005
TGM2	0.793515432	0.005	0.005
GALNT6	-0.133033225	0.005	0.005
ERN2	-0.117066068	0.005	0.005
SPACA4	-0.680639277	0.005	0.005
TMEM176A	0.765174297	0.005	0.005
STARD4	0.102320171	0.005	0.005
REP15	-0.653723727	0.005	0.005
PLLP	-0.555521741	0.005	0.005
CLUH	0.306886649	0.005	0.005
SFR1	0.140140902	0.005	0.005
HOXB9	-0.44564232	0.005	0.005
MAP7	-0.310718756	0.005	0.005
FOXD2	-0.060697283	0.005	0.005
STXBP2	-0.368147199	0.005	0.005
SLC40A1	-0.246478984	0.005	0.005
GOLGB1	-0.180379142	0.005	0.005
SLC12A7	0.05329932	0.005	0.005
CDC42BPG	-0.282631819	0.005	0.005
PPIF	-0.214434433	0.005	0.005
BRPF3	-0.301673336	0.005	0.005
PPME1	0.087695199	0.005	0.005
TUBB6	-0.029445519	0.005	0.005
CIPC	-0.71371176	0.005	0.005
MAP7D1	0.070433069	0.005	0.005
ATL2	-0.173728896	0.005	0.005
LRRC26	-0.337150778	0.005	0.005
DHCR7	-0.343885743	0.005	0.005
SLC39A5	-0.475201397	0.005	0.005
ANO7	-0.311780656	0.005	0.005
DGKD	-0.014583172	0.005	0.005
COQ9	-0.269960154	0.005	0.005
LZTS3	0.135452076	0.005	0.005
PCYT2	-0.496076096	0.005	0.005
CYP2S1	-0.782411489	0.005	0.005
DNMBP	-0.480599324	0.005	0.005
GNPNAT1	-0.32230033	0.005	0.005
FLOT2	0.491628118	0.005	0.005
GGT6	-0.283931451	0.005	0.005
SLC35B3	-0.126760897	0.005	0.005
LAMP2	0.282308827	0.005	0.005
CAMSAP3	-0.227138503	0.005	0.005
RAP1GAP	-0.019537288	0.005	0.005
SCRIB	-0.029680468	0.005	0.005
VIP	0.045282697	0.005	0.005
PENK	-0.847920972	0.005	0.005
MSRA	-0.234067549	0.005	0.005
ATP6V1B2	-0.027825313	0.005	0.005
PKLR	-0.013165402	0.005	0.005
INSIG1	-0.061393717	0.005	0.005
ELMO3	-0.359432986	0.005	0.005
BCAS1	-0.244530659	0.005	0.005
GJB1	0.408574702	0.005	0.005
KLF2	0.704139627	0.005	0.005
MUL1	-0.005375399	0.005	0.005
CTH	-0.310965987	0.005	0.005
SCAMP5	-0.367581563	0.005	0.005
ATAD3A	0.107177538	0.005	0.005
CCDC9	-0.538331039	0.005	0.005
PRKCA	0.074685782	0.005	0.005
CRTAP	0.559979439	0.005	0.005
OSBPL7	-0.141787743	0.005	0.005
ATP2C2	-0.022149124	0.005	0.005
SEMA3B	-0.224110387	0.005	0.005
MZT1	-0.168420079	0.005	0.005
PRSS8	-0.076416134	0.005	0.005
HNF1B	-0.295534414	0.005	0.005
HEPACAM2	-0.232712553	0.005	0.005
LMNB2	-0.305010621	0.005	0.005
SPPL2B	-0.308450983	0.005	0.005
DCAF11	-0.406035684	0.005	0.005
SOX13	-0.431782997	0.005	0.005
CFTR	0.17831882	0.005	0.005
PLEKHO1	0.034567316	0.005	0.005
HPD	0.129152096	0.005	0.005
EHD2	0.318955183	0.005	0.005
LRIG3	-0.391198061	0.005	0.005
TPSG1	0.062467732	0.005	0.005
EMP3	0.48074098	0.005	0.005
COG1	-0.01657035	0.005	0.005
CLDN12	0.155951638	0.005	0.005
