Gene_Symbol	logFC	pv	pct.1	pct.2	p_val_adj
TMEM8	6.529116288	6.09E-08	0.082	0	0.001965065
TMEM141	2.878358136	6.13E-08	0.118	0.018	0.001978861
EAR2	-2.99485048	9.15E-08	0.007	0.065	0.002955414
PEA15A	2.009470473	1.15E-07	0.147	0.036	0.00370345
GM1673	-6.80058523	1.17E-07	0	0.042	0.00378689
PGLYRP1	-3.595397692	1.25E-07	0.01	0.071	0.004049651
PIGP	3.385573728	1.42E-07	0.097	0.009	0.004584753
COMTD1	2.88055422	2.12E-07	0.09	0.006	0.006852806
RNF141	2.139336486	2.13E-07	0.12	0.021	0.006886629
TMEM119	2.065922441	2.20E-07	0.114	0.018	0.00711596
GM32633	-5.269107831	2.69E-07	0.001	0.045	0.00869419
TSPAN4	2.435307473	2.94E-07	0.1	0.012	0.009477954
SLC37A2	2.060024646	3.27E-07	0.132	0.03	0.010566356
FAM20A	3.608335321	3.42E-07	0.087	0.006	0.01104192
STON2	-2.053020983	3.85E-07	0.046	0.134	0.012432147
THOP1	6.097187733	4.61E-07	0.072	0	0.014881654
PRMT2	3.412479919	4.69E-07	0.085	0.006	0.015129091
APOC1	-2.637779495	4.70E-07	0.013	0.074	0.015165623
SPATA13	-2.019245587	5.66E-07	0.015	0.077	0.018270042
DUSP23	3.530196123	1.02E-06	0.075	0.003	0.032956951
I830077J02RIK	-2.171031146	1.05E-06	0.042	0.122	0.033949175
EPB41L1	3.109321269	1.07E-06	0.087	0.009	0.034679551
DYNLL2	2.049844586	1.11E-06	0.138	0.039	0.035897732
LAMC1	2.567286147	1.29E-06	0.097	0.015	0.041627877
OCSTAMP	-2.827004273	1.34E-06	0.006	0.053	0.043244828
LYRM2	2.434944612	1.37E-06	0.097	0.015	0.044334154
ALKBH3	2.735019493	1.45E-06	0.091	0.012	0.046834655
CEBPZOS	2.07950869	1.50E-06	0.103	0.018	0.048357963
