Gene_Symbol	logFC	pv	pct.1	pct.2	p_val_adj
LRRC17	3.694364643	6.09E-47	0.293	0.021	1.96E-42
GAB2	-2.206011715	4.35E-46	0.369	0.679	1.41E-41
P4HA3	3.310782497	1.14E-45	0.286	0.02	3.69E-41
HSD11B1	-4.610082378	1.45E-45	0.042	0.432	4.69E-41
LIMD2	2.686001125	3.62E-45	0.364	0.054	1.17E-40
NCAM1	3.869048344	1.42E-44	0.269	0.016	4.59E-40
PRG4	-3.929233469	1.79E-44	0.252	0.591	5.77E-40
DNAJC9	2.375723286	6.09E-44	0.381	0.063	1.97E-39
RRM1	2.756044452	8.91E-44	0.323	0.038	2.88E-39
UAP1	-2.495816209	1.34E-43	0.433	0.682	4.33E-39
UHRF1	3.739166497	1.76E-43	0.247	0.011	5.69E-39
GLIPR1	5.45068777	2.11E-43	0.23	0.006	6.81E-39
CTSH	2.251980558	2.92E-43	0.423	0.088	9.43E-39
SMIM41	-3.479242381	4.06E-43	0.103	0.479	1.31E-38
MDK	3.107360462	4.76E-43	0.296	0.028	1.54E-38
SMC2	2.860382975	5.95E-43	0.34	0.049	1.92E-38
ASF1B	7.516138654	9.50E-43	0.21	0.001	3.07E-38
ABCA8A	-3.580482026	9.82E-43	0.112	0.485	3.17E-38
TOP2A	7.651491093	3.30E-42	0.208	0.001	1.07E-37
CKS2	2.68167599	5.57E-42	0.364	0.063	1.80E-37
CRISPLD2	-3.304225098	1.07E-41	0.13	0.491	3.44E-37
MCM7	3.058363529	2.50E-41	0.274	0.024	8.08E-37
CCNB2	5.740315809	3.94E-41	0.208	0.002	1.27E-36
SFRP2	3.498953358	7.62E-39	0.32	0.051	2.46E-34
COL12A1	2.4785432	1.01E-38	0.325	0.049	3.25E-34
DHFR	3.056803326	2.34E-38	0.267	0.026	7.54E-34
GFPT2	-2.445759868	3.35E-38	0.32	0.597	1.08E-33
RPA2	2.360795375	1.64E-37	0.311	0.045	5.31E-33
TSC22D3	-3.159566361	8.60E-37	0.186	0.504	2.78E-32
KLF4	-3.390434724	1.39E-36	0.132	0.464	4.49E-32
PRELP	-2.473397259	2.23E-36	0.181	0.518	7.19E-32
PLAC8	3.647414322	2.34E-36	0.274	0.035	7.55E-32
HS6ST2	2.642374781	2.38E-35	0.271	0.033	7.70E-31
CP	-2.925719396	3.50E-35	0.193	0.502	1.13E-30
PIEZO2	2.630905878	7.12E-35	0.274	0.035	2.30E-30
UBE2C	8.268220504	7.75E-35	0.169	0	2.50E-30
DDIT4L	8.430212177	7.75E-35	0.169	0	2.50E-30
TCF19	4.443369555	1.40E-34	0.196	0.008	4.53E-30
MCM4	3.15727883	3.22E-34	0.23	0.02	1.04E-29
CDCA8	5.00908112	1.90E-33	0.186	0.007	6.12E-29
CCNE2	8.081872907	2.55E-33	0.161	0	8.24E-29
PBK	8.224825213	2.60E-32	0.156	0	8.40E-28
SLC43A3	-2.075461612	3.60E-32	0.35	0.593	1.16E-27
HIST1H4I	4.725544673	4.50E-32	0.169	0.004	1.45E-27
CDKN3	5.475360328	7.58E-32	0.159	0.001	2.45E-27
TACC3	3.297506079	1.44E-31	0.2	0.014	4.65E-27
GPR176	2.11988662	2.55E-31	0.281	0.046	8.25E-27
MMP2	-2.069574582	3.52E-31	0.257	0.541	1.14E-26
MMS22L	4.366377931	5.53E-31	0.171	0.006	1.79E-26
E2F1	3.138483646	5.54E-31	0.21	0.019	1.79E-26
EZH2	2.09124674	7.74E-31	0.274	0.043	2.50E-26
CENPW	4.36466483	2.28E-30	0.178	0.009	7.36E-26
CHAF1B	4.766602266	2.28E-30	0.164	0.005	7.37E-26
RAD51AP1	6.731366276	6.09E-30	0.149	0.001	1.97E-25
CENPP	3.970405155	6.81E-30	0.174	0.008	2.20E-25
HIST1H2AP	5.816783653	7.27E-30	0.149	0.001	2.35E-25
CCNA2	7.877771374	8.36E-30	0.144	0	2.70E-25
CENPH	7.892646093	2.64E-29	0.142	0	8.52E-25
RAD51B	3.318927741	3.76E-29	0.188	0.014	1.21E-24
CENPK	4.958152677	4.24E-29	0.161	0.006	1.37E-24
RACGAP1	5.046263817	6.10E-29	0.149	0.002	1.97E-24
CMKLR1	-4.241153684	1.11E-28	0.037	0.308	3.59E-24
RAD51	4.274611791	1.43E-28	0.152	0.004	4.63E-24
HAUS4	2.999787346	1.75E-28	0.178	0.012	5.66E-24
MAD2L1	3.448554929	3.96E-28	0.176	0.012	1.28E-23
CDC45	4.661968108	4.73E-28	0.149	0.004	1.53E-23
IGFBP6	-2.477546537	1.28E-27	0.208	0.477	4.15E-23
PRC1	5.356338106	1.79E-27	0.142	0.002	5.77E-23
TPX2	4.875692678	2.30E-27	0.149	0.005	7.42E-23
RHOB	-2.092229227	3.57E-27	0.301	0.533	1.15E-22
CCNE1	7.757146403	8.07E-27	0.13	0	2.60E-22
FEN1	2.424515904	1.15E-26	0.225	0.034	3.70E-22
CDT1	4.484069484	3.16E-26	0.147	0.006	1.02E-21
GM1673	2.632896461	4.81E-26	0.181	0.016	1.55E-21
CHAF1A	3.533090872	9.25E-26	0.164	0.012	2.99E-21
SYCE2	3.211197925	1.26E-25	0.164	0.012	4.08E-21
PAFAH1B3	2.159132235	2.36E-25	0.213	0.031	7.62E-21
KNSTRN	4.933062997	3.48E-25	0.134	0.004	1.12E-20
KLF2	-2.457694199	4.58E-25	0.342	0.564	1.48E-20
G0S2	-3.698760777	4.86E-25	0.095	0.35	1.57E-20
ACE	-3.05207301	7.05E-25	0.09	0.344	2.28E-20
SLFN9	3.955530273	9.59E-25	0.137	0.005	3.10E-20
CTSS	2.462284133	1.19E-24	0.191	0.024	3.84E-20
CLSPN	2.883881632	1.33E-24	0.159	0.012	4.31E-20
LOCKD	3.785467727	1.40E-24	0.156	0.012	4.51E-20
ZBTB16	-5.30275623	1.49E-24	0.012	0.241	4.81E-20
RFC5	2.254165331	2.09E-24	0.242	0.047	6.74E-20
TMEM121	3.09349368	2.80E-24	0.156	0.012	9.05E-20
FBLN1	-2.001102987	3.14E-24	0.298	0.521	1.01E-19
DNMT1	2.615647382	3.96E-24	0.196	0.027	1.28E-19
SPON1	-3.572121189	4.13E-24	0.054	0.297	1.33E-19
SPC25	5.10779509	4.86E-24	0.125	0.002	1.57E-19
C1QB	2.073220095	2.76E-23	0.191	0.026	8.90E-19
GAS7	-2.439526871	3.72E-23	0.149	0.4	1.20E-18
TGFBR2	-2.162407747	5.22E-23	0.193	0.437	1.68E-18
YDJC	3.455878402	6.72E-23	0.149	0.012	2.17E-18
CDC20	4.00960395	7.39E-23	0.134	0.007	2.39E-18
INCENP	3.603896995	8.86E-23	0.142	0.009	2.86E-18
CENPN	3.541363084	9.42E-23	0.134	0.007	3.04E-18
PRIM1	2.304505161	9.97E-23	0.178	0.022	3.22E-18
AZIN2	2.814914101	1.05E-22	0.161	0.016	3.38E-18
CDK2	3.622260258	1.15E-22	0.144	0.011	3.70E-18
ATAD2	2.471728624	1.33E-22	0.203	0.034	4.29E-18
LY6C1	-3.523810378	2.06E-22	0.083	0.317	6.65E-18
LPL	-2.115942758	6.20E-22	0.306	0.509	2.00E-17
GSTA3	-3.894577461	1.62E-21	0.032	0.248	5.25E-17
RFC3	2.087935116	1.93E-21	0.205	0.038	6.24E-17
C1QTNF7	-2.603306053	2.87E-21	0.147	0.376	9.26E-17
H19	5.648828385	3.71E-21	0.11	0.002	1.20E-16
DTL	4.679581461	4.27E-21	0.117	0.005	1.38E-16
MYBL2	5.232014584	5.65E-21	0.105	0.001	1.82E-16
CENPS	3.383968743	6.23E-21	0.142	0.013	2.01E-16
CIT	7.198363753	6.32E-21	0.1	0	2.04E-16
CDH3	7.348073991	6.32E-21	0.1	0	2.04E-16
AURKB	7.311199338	6.32E-21	0.1	0	2.04E-16
NRM	2.066771091	6.57E-21	0.188	0.032	2.12E-16
LGALS3	2.185497648	8.24E-21	0.232	0.053	2.66E-16
GINS1	2.957121693	1.14E-20	0.134	0.011	3.68E-16
DUSP1	-2.042439342	1.39E-20	0.315	0.519	4.49E-16
C3	-2.756282807	1.54E-20	0.127	0.354	4.96E-16
SERPINA3G	2.314691111	1.62E-20	0.144	0.014	5.23E-16
IMPA2	3.247457726	1.83E-20	0.139	0.013	5.92E-16
SPECC1	2.888730682	2.28E-20	0.152	0.018	7.36E-16
AQP1	3.09592938	2.67E-20	0.152	0.018	8.62E-16
HACD4	3.693011127	3.27E-20	0.117	0.006	1.06E-15
IFI205	-3.330643821	6.56E-20	0.078	0.293	2.12E-15
VWA1	-3.823244974	7.63E-20	0.044	0.248	2.46E-15
GM12840	-2.096545368	8.74E-20	0.259	0.468	2.82E-15
RIPK3	2.29067858	1.04E-19	0.174	0.028	3.37E-15
TRIP13	3.110860043	1.26E-19	0.122	0.008	4.06E-15
NECTIN2	3.461530574	1.49E-19	0.125	0.009	4.80E-15
BRCA1	7.249417616	1.82E-19	0.093	0	5.86E-15
FMN1	2.939551075	2.57E-19	0.137	0.014	8.28E-15
GUCA1A	3.366633388	2.61E-19	0.127	0.011	8.44E-15
ALPL	-3.573535445	3.88E-19	0.042	0.241	1.25E-14
NR4A1	-2.498532694	5.13E-19	0.12	0.34	1.66E-14
CDCA5	6.920462682	5.55E-19	0.09	0	1.79E-14
DKK2	3.562440013	8.22E-19	0.103	0.004	2.65E-14
PMVK	2.582689155	9.10E-19	0.144	0.018	2.94E-14
AOC3	5.09604111	1.02E-18	0.098	0.002	3.28E-14
PIMREG	5.019612197	1.50E-18	0.093	0.001	4.85E-14
MELK	5.062287944	1.51E-18	0.093	0.001	4.88E-14
KIF15	6.983565296	1.69E-18	0.088	0	5.46E-14
ANKRD1	3.250076985	2.95E-18	0.115	0.008	9.52E-14
LRRC42	2.07736846	3.82E-18	0.166	0.028	1.23E-13
THSD7A	-2.325921672	3.84E-18	0.144	0.354	1.24E-13
SHCBP1	5.835803275	4.25E-18	0.09	0.001	1.37E-13
D130058E05RIK	4.293025601	4.39E-18	0.103	0.005	1.42E-13
ZWILCH	3.393780804	5.61E-18	0.103	0.005	1.81E-13
HIST1H1C	2.126618295	1.01E-17	0.178	0.035	3.25E-13
HMMR	4.909424813	1.40E-17	0.088	0.001	4.51E-13
KNTC1	7.027389181	1.57E-17	0.083	0	5.06E-13
HS3ST1	-3.850583078	4.50E-17	0.027	0.203	1.45E-12
NEIL3	7.052048269	4.76E-17	0.081	0	1.54E-12
LRR1	6.944191047	4.76E-17	0.081	0	1.54E-12
PDGFA	2.287942225	5.71E-17	0.171	0.034	1.84E-12
ESRRG	2.440929117	7.28E-17	0.125	0.014	2.35E-12
RPP25	2.072431575	8.57E-17	0.156	0.027	2.77E-12
MKI67	3.226239208	1.02E-16	0.088	0.002	3.28E-12
PDGFC	4.790870678	1.28E-16	0.083	0.001	4.14E-12
2810408I11RIK	3.584842771	1.43E-16	0.095	0.005	4.62E-12
RASL11A	2.883042482	1.82E-16	0.112	0.011	5.88E-12
RAD54L	4.239474428	3.06E-16	0.086	0.002	9.89E-12
CAMK2N1	-2.705871707	3.08E-16	0.122	0.307	9.95E-12
SKP2	2.807498214	3.28E-16	0.117	0.013	1.06E-11
SCARA5	-5.943214574	3.57E-16	0.005	0.156	1.15E-11
XDH	-3.386511109	3.68E-16	0.037	0.21	1.19E-11
HIST1H1B	7.024012492	4.38E-16	0.076	0	1.41E-11
TSTD3	2.313495586	4.54E-16	0.137	0.021	1.47E-11
TXNIP	-2.443419383	4.65E-16	0.117	0.306	1.50E-11
TMTC4	2.784429659	5.56E-16	0.11	0.011	1.80E-11
TEDC1	3.852745589	5.65E-16	0.088	0.004	1.82E-11
POLD1	2.037657417	6.12E-16	0.134	0.02	1.98E-11
CENPQ	2.119449153	7.63E-16	0.139	0.022	2.46E-11
GDA	-2.387888235	7.96E-16	0.093	0.282	2.57E-11
CKAP2L	5.04842764	7.96E-16	0.083	0.002	2.57E-11
DSCC1	3.73332458	8.95E-16	0.083	0.002	2.89E-11
RGS4	4.423820188	8.99E-16	0.083	0.002	2.90E-11
DBF4	4.24587304	9.88E-16	0.09	0.005	3.19E-11
HAUS6	2.714164128	1.05E-15	0.105	0.009	3.40E-11
BRIP1	3.018818905	1.27E-15	0.098	0.007	4.10E-11
PDLIM4	3.419101508	1.28E-15	0.09	0.005	4.13E-11
PLK2	2.212790813	1.30E-15	0.13	0.019	4.21E-11
NUF2	6.695335092	1.33E-15	0.073	0	4.28E-11
NSL1	7.049205856	1.33E-15	0.073	0	4.28E-11
CNN1	7.272903741	1.33E-15	0.073	0	4.28E-11
TCEA3	2.732095175	1.55E-15	0.122	0.016	5.00E-11
STEAP2	2.122136293	2.09E-15	0.142	0.025	6.75E-11
HGF	5.155291424	2.27E-15	0.081	0.002	7.33E-11
CDC6	4.804896248	2.38E-15	0.081	0.002	7.68E-11
ATAD5	4.477880868	2.60E-15	0.081	0.002	8.40E-11
CCNB1	4.870858117	3.53E-15	0.076	0.001	1.14E-10
ACTG2	7.810708195	4.01E-15	0.071	0	1.29E-10
CEMIP	8.439667031	4.01E-15	0.071	0	1.29E-10
MXD3	6.719494703	4.01E-15	0.071	0	1.29E-10
GEM	-2.404515823	4.25E-15	0.125	0.309	1.37E-10
GAS2	2.323000178	4.37E-15	0.115	0.014	1.41E-10
DES	2.127236817	4.40E-15	0.144	0.027	1.42E-10
EXO1	4.821699181	7.07E-15	0.078	0.002	2.28E-10
LFNG	3.278331035	9.26E-15	0.093	0.007	2.99E-10
APOD	-4.700173736	9.29E-15	0.022	0.174	3.00E-10
SGO1	5.364850284	1.02E-14	0.073	0.001	3.29E-10
POLE2	2.128415944	1.23E-14	0.132	0.022	3.97E-10
ADGRD1	-2.117381286	1.27E-14	0.186	0.36	4.11E-10
ABCA8B	-3.746719273	1.51E-14	0.037	0.193	4.87E-10
TTYH3	2.766789731	1.52E-14	0.108	0.013	4.90E-10
HMCN2	-5.347259196	1.71E-14	0.007	0.146	5.53E-10
ULBP1	3.853209947	2.43E-14	0.076	0.002	7.85E-10
CENPE	4.566693273	3.22E-14	0.071	0.001	1.04E-09
E2F7	6.452514437	3.65E-14	0.066	0	1.18E-09
ESCO2	6.838893071	3.65E-14	0.066	0	1.18E-09
HAS1	-3.512789157	4.11E-14	0.037	0.192	1.33E-09
ZFP469	2.081101654	5.42E-14	0.12	0.019	1.75E-09
ABLIM1	-3.155902486	5.77E-14	0.049	0.206	1.86E-09
TRIP10	-2.4568343	6.78E-14	0.09	0.259	2.19E-09
MMAB	2.121233859	7.04E-14	0.117	0.018	2.27E-09
BAG3	-2.247300347	7.23E-14	0.247	0.4	2.33E-09
MAFF	-2.063942494	7.54E-14	0.144	0.316	2.43E-09
H1FX	2.630098397	7.56E-14	0.095	0.009	2.44E-09
FIGNL1	3.582079835	8.28E-14	0.081	0.005	2.67E-09
EFCAB11	2.396559158	8.35E-14	0.095	0.009	2.70E-09
POLA2	2.677634521	9.07E-14	0.098	0.011	2.93E-09
LBP	-3.993445456	9.26E-14	0.017	0.157	2.99E-09
COL11A1	4.951808491	9.48E-14	0.068	0.001	3.06E-09
DYSF	4.638657385	9.67E-14	0.068	0.001	3.12E-09
C1QA	2.122498819	1.01E-13	0.098	0.011	3.27E-09
BUB1	6.48454661	1.10E-13	0.064	0	3.55E-09
DLGAP5	6.498340984	1.10E-13	0.064	0	3.55E-09
CD55	-2.736678689	1.25E-13	0.078	0.242	4.02E-09
CD109	4.135672828	1.34E-13	0.076	0.004	4.34E-09
PWWP3B	4.163383861	1.36E-13	0.076	0.004	4.39E-09
FGL2	-3.430926552	1.92E-13	0.042	0.192	6.21E-09
LCN2	-5.159078318	2.05E-13	0.022	0.161	6.60E-09
SASS6	3.50525578	2.48E-13	0.078	0.005	7.99E-09
ABI3BP	-3.052266505	2.53E-13	0.051	0.204	8.16E-09
TRIM59	4.466356271	2.90E-13	0.066	0.001	9.37E-09
AUNIP	4.659878711	2.90E-13	0.066	0.001	9.37E-09
TRAIP	4.473501969	2.92E-13	0.066	0.001	9.41E-09
KIF22	6.733519132	3.31E-13	0.061	0	1.07E-08
MIS18BP1	6.263468894	3.31E-13	0.061	0	1.07E-08
NDC80	6.626686686	3.31E-13	0.061	0	1.07E-08
SCML4	-3.683026394	4.31E-13	0.017	0.152	1.39E-08
TRF	-2.608171434	4.43E-13	0.078	0.237	1.43E-08
TMEM132A	2.264653314	5.16E-13	0.125	0.024	1.67E-08
GM41724	2.725093373	5.51E-13	0.09	0.009	1.78E-08
RMI2	3.462425391	6.59E-13	0.068	0.002	2.13E-08
ADAMTSL2	-3.774483261	7.45E-13	0.02	0.153	2.41E-08
NCAPG2	2.266613475	8.12E-13	0.108	0.016	2.62E-08
CENPU	5.003455612	8.37E-13	0.064	0.001	2.70E-08
SLC10A6	-4.174829742	9.85E-13	0.015	0.143	3.18E-08
GM13832	6.391640443	9.95E-13	0.059	0	3.21E-08
BUB1B	6.268804647	9.95E-13	0.059	0	3.21E-08
RAET1E	6.750220414	9.95E-13	0.059	0	3.21E-08
NRG1	4.078365531	1.08E-12	0.078	0.006	3.49E-08
LMO2	-4.472305171	1.27E-12	0.012	0.137	4.10E-08
RANBP17	2.978306818	1.33E-12	0.088	0.009	4.30E-08
PDZD2	-3.049284659	1.55E-12	0.046	0.189	5.00E-08
WDHD1	3.208119148	1.71E-12	0.081	0.007	5.51E-08
PDE4B	-2.227922975	2.04E-12	0.127	0.286	6.59E-08
C430002N11RIK	3.371294202	2.14E-12	0.073	0.005	6.90E-08
CENPF	4.384071311	2.60E-12	0.061	0.001	8.41E-08
DEPDC1A	6.23844719	2.99E-12	0.056	0	9.65E-08
MCAM	6.601080836	2.99E-12	0.056	0	9.65E-08
TTK	6.446615497	2.99E-12	0.056	0	9.65E-08
DIO3	6.888503406	2.99E-12	0.056	0	9.65E-08
CKAP2	3.705225134	3.01E-12	0.076	0.006	9.71E-08
DNPH1	2.786957571	3.03E-12	0.083	0.008	9.79E-08
AJUBA	4.309626226	3.22E-12	0.068	0.004	1.04E-07
IFI207	-3.170430926	3.29E-12	0.024	0.156	1.06E-07
GAS6	-2.095633254	4.27E-12	0.122	0.281	1.38E-07
USP13	2.216863205	4.84E-12	0.105	0.018	1.56E-07
SCN7A	-2.678006621	4.90E-12	0.078	0.224	1.58E-07
KNL1	4.02111901	5.33E-12	0.064	0.002	1.72E-07
HIST1H2AE	6.256358589	8.97E-12	0.054	0	2.90E-07
GTSE1	6.349233361	8.97E-12	0.054	0	2.90E-07
ZDHHC15	3.658211305	1.12E-11	0.066	0.004	3.61E-07
LSAMP	-3.784286298	1.23E-11	0.022	0.146	3.99E-07
LSMEM1	3.073749372	1.83E-11	0.078	0.008	5.91E-07
AAAS	2.05954615	1.87E-11	0.115	0.024	6.03E-07
CDCA7L	2.897141988	2.04E-11	0.068	0.005	6.60E-07
NMRAL1	5.330889881	2.11E-11	0.056	0.001	6.83E-07
CCNB1IP1	2.210218438	2.12E-11	0.088	0.012	6.83E-07
HP	3.935967928	2.18E-11	0.108	0.021	7.05E-07
POLE	4.8590569	2.26E-11	0.056	0.001	7.30E-07
ECRG4	2.781141785	2.32E-11	0.078	0.008	7.50E-07
AURKA	4.209636515	2.33E-11	0.056	0.001	7.51E-07
GGTA1	4.246638256	2.34E-11	0.056	0.001	7.55E-07
ZGRF1	2.929308784	2.39E-11	0.078	0.008	7.73E-07
LHPP	2.970856617	2.85E-11	0.071	0.006	9.19E-07
LNCPINT	-2.354663699	3.93E-11	0.095	0.236	1.27E-06
FMO2	-3.919899461	4.42E-11	0.017	0.132	1.43E-06
NPAT	2.046772032	5.07E-11	0.105	0.02	1.64E-06
MNS1	5.21092288	6.34E-11	0.054	0.001	2.05E-06
UBE2T	4.132997448	6.98E-11	0.054	0.001	2.25E-06
CSMD1	2.122447826	8.06E-11	0.115	0.026	2.60E-06
PLK1	5.992519864	8.06E-11	0.049	0	2.60E-06
OSBPL3	4.013832362	8.18E-11	0.061	0.004	2.64E-06
FGF2	-2.465959154	8.24E-11	0.059	0.193	2.66E-06
LRRN4CL	-4.043430884	8.49E-11	0.022	0.136	2.74E-06
GCH1	-2.8736746	9.03E-11	0.056	0.187	2.91E-06
LGI3	3.420007204	9.72E-11	0.061	0.004	3.14E-06
MAP3K7CL	2.38018511	1.00E-10	0.061	0.004	3.23E-06
ECHDC2	2.208596416	1.08E-10	0.1	0.019	3.49E-06
IRAK3	-3.452009637	1.47E-10	0.027	0.142	4.73E-06
MYOZ3	3.424255292	1.50E-10	0.056	0.002	4.85E-06
2410018L13RIK	2.205237134	1.73E-10	0.086	0.013	5.59E-06
LIN9	2.754194843	1.82E-10	0.073	0.008	5.88E-06
CDCA2	5.089645972	1.96E-10	0.051	0.001	6.31E-06
NPAS2	-2.391341043	2.17E-10	0.068	0.199	7.01E-06
KIF11	6.337370203	2.41E-10	0.046	0	7.80E-06
MDGA1	2.071712307	2.91E-10	0.098	0.019	9.38E-06
BMP4	-2.888640756	3.22E-10	0.054	0.177	1.04E-05
PLATR25	2.61000774	3.81E-10	0.068	0.007	1.23E-05
RAD51C	3.651636365	4.39E-10	0.054	0.002	1.42E-05
TMEM204	-2.839062327	4.73E-10	0.02	0.128	1.53E-05
ACKR3	-3.187559996	4.80E-10	0.024	0.135	1.55E-05
PINK1	-2.170990624	5.67E-10	0.081	0.213	1.83E-05
GM49708	2.061158979	5.77E-10	0.086	0.014	1.86E-05
RAC3	3.175385161	6.34E-10	0.064	0.006	2.05E-05
CD53	2.732277455	6.89E-10	0.064	0.006	2.22E-05
NCAPG	6.173605047	7.23E-10	0.044	0	2.33E-05
SERPINB6B	6.012154758	7.23E-10	0.044	0	2.33E-05
SKA3	5.943561463	7.23E-10	0.044	0	2.33E-05
CEP55	6.023841448	7.23E-10	0.044	0	2.33E-05
ADGRL2	2.278984982	9.37E-10	0.078	0.012	3.02E-05
PLEKHA6	-3.384090794	1.01E-09	0.022	0.127	3.27E-05
PDE9A	-4.078340634	1.05E-09	0.01	0.106	3.39E-05
TMEM100	-3.590814631	1.09E-09	0.027	0.134	3.51E-05
KIF20A	3.622391188	1.27E-09	0.051	0.002	4.10E-05
INAVA	2.767059519	1.37E-09	0.059	0.005	4.44E-05
CCDC138	2.654018933	1.51E-09	0.071	0.009	4.87E-05
