Gene_Symbol	logFC	pv		Gene_Symbol	logFC		Gene_Symbol	logFC
NCAM1	1.557936289	0.001		OLFML2B	1.781298131		Olfml2b	1.781298131
NEO1	2.185325325	0.001		RGL1	1.751485084		Rgl1	1.751485084
NHS	1.950245682	0.001		ANTXR1	1.712211346		Antxr1	1.712211346
NLK	1.062623945	0.001		SLC7A2	1.62287529		Slc7a2	1.62287529
NRP2	-2.682968555	0.001		SSC5D	1.573555113		Ssc5d	1.573555113
NUAK1	3.022326467	0.001		A930037H05RIK	1.561333576		A930037h05rik	1.561333576
NXN	-0.618829011	0.001		NCAM1	1.557936289		Ncam1	1.557936289
OLFML2B	1.781298131	0.001		PIEZO2	1.51530523		Piezo2	1.51530523
OSBPL8	0.665004662	0.001		EDNRA	1.502073513		Ednra	1.502073513
PAMR1	4.160812736	0.001		TSC22D1	1.493683796		Tsc22d1	1.493683796
PHLDB2	0.985821551	0.001		4930523C07RIK	1.357780684		4930523c07rik	1.357780684
PICALM	2.028735413	0.001		KDM5B	1.354333839		Kdm5b	1.354333839
PIEZO2	1.51530523	0.001		LTBP1	1.341419759		Ltbp1	1.341419759
PIK3R3	2.949726602	0.001		PLAAT3	1.294716169		Plaat3	1.294716169
PLAAT3	1.294716169	0.001		JPH2	1.262920673		Jph2	1.262920673
PLXNA4	3.435882834	0.001		ITGA11	1.206736473		Itga11	1.206736473
PRICKLE1	2.220184826	0.001		GRB10	1.206394652		Grb10	1.206394652
RAI14	1.198667777	0.001		RAI14	1.198667777		Rai14	1.198667777
RAMP1	4.848290143	0.001		SERF1	1.153171804		Serf1	1.153171804
RGL1	1.751485084	0.001		HMGCR	1.08361764		Hmgcr	1.08361764
RIN2	2.477394414	0.001		NLK	1.062623945		Nlk	1.062623945
SCX	4.187139711	0.001		PHLDB2	0.985821551		Phldb2	0.985821551
SERF1	1.153171804	0.001		FBN2	0.937379199		Fbn2	0.937379199
SLC31A1	-0.449448245	0.001		SUSD6	0.896633981		Susd6	0.896633981
SLC7A2	1.62287529	0.001		ERBIN	0.779524426		Erbin	0.779524426
SLIT2	-0.851677796	0.001		GM5617	0.680284495		Gm5617	0.680284495
SSC5D	1.573555113	0.001		OSBPL8	0.665004662		Osbpl8	0.665004662
ST3GAL5	3.282284877	0.001		FMN1	0.383768241		Fmn1	0.383768241
STRBP	1.905237822	0.001		EIF1	-0.300882016		Eif1	-0.300882016
SULF2	1.786747917	0.001		SLC31A1	-0.449448245		Slc31a1	-0.449448245
SUSD6	0.896633981	0.001		TMEM263	-0.525926498		Tmem263	-0.525926498
TCEA3	2.115377382	0.001		NXN	-0.618829011		Nxn	-0.618829011
THBS2	3.011901325	0.001		JAG1	-0.834652687		Jag1	-0.834652687
TLN2	-1.136335268	0.001		SLIT2	-0.851677796		Slit2	-0.851677796
TMEM263	-0.525926498	0.001		HS6ST2	-1.135785679		Hs6st2	-1.135785679
TRABD2B	1.828709558	0.001		TLN2	-1.136335268		Tln2	-1.136335268
TSC22D1	1.493683796	0.001		FLRT2	-1.335858898		Flrt2	-1.335858898
UNC119	2.82710971	0.001		DLEU2	-1.93240761		Dleu2	-1.93240761
WFDC18	3.569601685	0.001		NRP2	-2.682968555		Nrp2	-2.682968555
